bond,angle,hf,vqe,exact,n_qubits,n_params
1.3264,90.0,-15.471340073824347,-15.475542162391115,-15.47554665721433,6,26
1.3264,95.0,-15.482636809018455,-15.487013454693273,-15.487018486685097,6,26
1.3264,100.0,-15.492808507992605,-15.497362981404814,-15.497368247065978,6,26
1.3264,105.0,-15.501972008592103,-15.506700967081743,-15.506706589520366,6,26
1.3264,110.0,-15.510230127923812,-15.515126630327671,-15.515132527329468,6,26
1.3264,115.0,-15.5176709200892,-15.52272556597885,-15.522731671466538,6,26
1.3264,120.0,-15.524368262789654,-15.529569991878196,-15.529576207225555,6,26
1.3264,125.0,-15.530383113725643,-15.535719576156293,-15.535725788217519,6,26
1.3264,130.0,-15.535765031729992,-15.541222779815214,-15.541228860864715,6,26
1.3264,135.0,-15.540553733225627,-15.546118333030055,-15.54612414463696,6,26
1.3264,140.0,-15.544780568907164,-15.55043673371176,-15.550442131585832,6,26
1.3264,145.0,-15.548469873489596,-15.55420134763299,-15.554206550339295,6,26
1.3264,150.0,-15.551640176619479,-15.557431393921417,-15.557435775953733,6,26
1.3264,155.0,-15.55430527734261,-15.56014044569784,-15.560144160908184,6,26
1.3264,160.0,-15.556475186971461,-15.56234057056323,-15.562343213151797,6,26
1.3264,165.0,-15.558156942171037,-15.564040572765435,-15.564042470185104,6,26
1.3264,170.0,-15.559355285613615,-15.5652485745284,-15.56524988433869,6,26
1.3264,175.0,-15.560073207915098,-15.565970724504451,-15.565971663473722,6,26
1.3264,180.0,-15.560312342811805,-15.566210970030511,-15.56621178987985,6,26
