bond,angle,hf,vqe,exact,n_qubits,n_params
0.9,180.0,-15.338455484233496,-15.346488264218127,-15.346489648002407,6,26
1.0,180.0,-15.455667773102805,-15.462869791385398,-15.462870974628125,6,26
1.1,180.0,-15.521999127373888,-15.528631730332458,-15.528632692194154,6,26
1.2,180.0,-15.553586475706627,-15.559818404627485,-15.559819199499909,6,26
1.2999999999999998,180.0,-15.561278032307998,-15.56723276550046,-15.567233449166347,6,26
1.4,180.0,-15.552459810370866,-15.558235467967702,-15.558236988427943,6,26
1.5,180.0,-15.532213327051158,-15.53789659428827,-15.537897461365702,6,26
1.5999999999999999,180.0,-15.504085516670967,-15.50975348695906,-15.509754327601666,6,26
1.6999999999999997,180.0,-15.470605831545196,-15.476333254278295,-15.476334003436179,6,26
1.7999999999999998,180.0,-15.433625862653791,-15.439487635463774,-15.439488485879338,6,26
1.9,180.0,-15.394538115351637,-15.400612682828383,-15.400613664694347,6,26
1.9999999999999996,180.0,-15.354417332570883,-15.384666428837084,-15.385344869378978,6,26
2.0999999999999996,180.0,-15.314113251635568,-15.350024664698457,-15.351020446984165,6,26
2.1999999999999997,180.0,-15.274311850103839,-15.317412246773376,-15.318911061247743,6,26
2.3,180.0,-15.235575204944567,-15.2879692410721,-15.290260292177964,6,26
2.3999999999999995,180.0,-15.198366965208356,-15.26296698401178,-15.266444764371728,6,26
