bond,angle,hf,vqe,exact,n_qubits,n_params
0.9,90.0,-15.248348570520825,-15.252287568554745,-15.252287963826147,6,26
1.05,90.0,-15.402124796728128,-15.405947558088684,-15.405948383889278,6,26
1.2000000000000002,90.0,-15.46246011796055,-15.466385226158994,-15.466387236438944,6,26
1.35,90.0,-15.470108935723275,-15.474385992960297,-15.474391212228948,6,26
1.5,90.0,-15.447531932515826,-15.452506949489239,-15.452519149992643,6,26
1.6500000000000001,90.0,-15.407641324210129,-15.413848943438012,-15.413877882371892,6,26
1.8000000000000003,90.0,-15.358282747025207,-15.366614661723666,-15.36668438671348,6,26
1.9500000000000002,90.0,-15.304528524290276,-15.316531791346398,-15.316706958481785,6,26
2.1,90.0,-15.249861611946834,-15.268256738027567,-15.268719607360834,6,26
2.25,90.0,-15.196811426602299,-15.226448357790966,-15.227720721261893,6,26
2.4000000000000004,90.0,-15.147292457723749,-15.19712985287205,-15.201783560818807,6,26
2.4000000000000004,100.0,-15.158995347312883,-15.206777082682024,-15.209735529054022,6,26
2.25,100.0,-15.210377476945787,-15.239121286503185,-15.240233886270765,6,26
2.1,100.0,-15.265100324906575,-15.283196176686069,-15.283608849411543,6,26
1.9500000000000002,100.0,-15.321274222430235,-15.333297281352525,-15.333458462460227,6,26
1.8000000000000003,100.0,-15.37639081150556,-15.384912221091476,-15.384979382203369,6,26
1.6500000000000001,100.0,-15.426979670913969,-15.433466635095122,-15.433495850790845,6,26
1.5,100.0,-15.467961607652134,-15.473263498310873,-15.473276672744868,6,26
1.35,100.0,-15.491453387941508,-15.496080756961488,-15.49608687204771,6,26
1.2000000000000002,100.0,-15.484484375167915,-15.488765162514934,-15.48876779969677,6,26
1.05,100.0,-15.424561311084787,-15.428728312218325,-15.428729667688327,6,26
0.9,100.0,-15.270964269501812,-15.275222252772531,-15.27522297882879,6,26
0.9,110.0,-15.28906591350444,-15.29381261235045,-15.293813477384205,6,26
1.05,110.0,-15.442676425040315,-15.44727579365901,-15.447277342646213,6,26
1.2000000000000002,110.0,-15.502335072728908,-15.507000107222662,-15.50700342673294,6,26
1.35,110.0,-15.508776954778682,-15.51373810072549,-15.51374472490258,6,26
1.5,110.0,-15.484557108898267,-15.49013418704581,-15.490148027521988,6,26
1.6500000000000001,110.0,-15.442704276075329,-15.449395513030597,-15.449424393001728,6,26
1.8000000000000003,110.0,-15.391129945045876,-15.39976398352185,-15.399827826777223,6,26
1.9500000000000002,110.0,-15.334920533447345,-15.346934385625914,-15.347084600719613,6,26
2.1,110.0,-15.277545445749395,-15.295471161824409,-15.295850879244053,6,26
2.25,110.0,-15.22150732826872,-15.249840653870072,-15.250857961511532,6,26
2.4000000000000004,110.0,-15.168684224849724,-15.215521307654914,-15.218237325756954,6,26
2.4000000000000004,120.0,-15.17677652107653,-15.223711792949606,-15.226306291509516,6,26
2.25,120.0,-15.230703388405344,-15.259143043590223,-15.260111561900523,6,26
2.1,120.0,-15.28775588292584,-15.305686003386734,-15.30604457998214,6,26
1.9500000000000002,120.0,-15.346066535875293,-15.358073676873545,-15.358214712616018,6,26
1.8000000000000003,120.0,-15.4031363026107,-15.411822634334008,-15.411882762446686,6,26
1.6500000000000001,120.0,-15.455492812967712,-15.462317919965539,-15.46234555592167,6,26
