degree,max_mha,rms_mha,mae_mha
1,13.102527349310833,7.588082506092581,6.747609543231464
2,1.0822318080929705,0.6699631607660188,0.6043619131036133
3,0.29729085856189386,0.1796484958141575,0.15792706719399435
4,0.054020584618896805,0.033379737914937105,0.029583275927248062
5,0.004269313897964366,0.0017705906645042258,0.0015095893506736837
6,0.003993753283637602,0.0016079269984156323,0.0012669734174738444
7,0.0010653516433478671,0.00035588595029876965,0.00026984918038659304
8,0.0006736130782059035,0.0002598351558128659,0.0001872623857809351
9,0.00022104220676055775,0.00010451281242363923,8.256561771535122e-05
10,0.00040255712541181765,0.00014138964479208958,0.00010439922777252644
11,0.0005304281778251152,0.0001825794686944993,0.00012380337508107806
12,0.0004762804675095822,0.00017899723762542505,0.00012723017996015242
13,0.00047583664475325804,0.00017236174473225275,0.00012343647118818942
14,0.0037991989749741606,0.0010610173129262305,0.0005094686091039795
15,0.03508843263588801,0.009335734424388493,0.0036149245367558
16,0.1606696387987938,0.04934399427507853,0.019599224584191974
17,0.5580241972769073,0.19277083333749334,0.07548562479745492
