bond,angle,spline
0.9,90.0,-15.252287568554749
0.9,90.45226130653266,-15.253429444729509
0.9,90.90452261306532,-15.254560931117014
0.9,91.35678391959799,-15.255682098954303
0.9,91.80904522613065,-15.256793019478415
0.9,92.26130653266331,-15.257893763926392
0.9,92.71356783919597,-15.258984403535269
0.9,93.16582914572864,-15.26006500954209
0.9,93.61809045226131,-15.2611356531839
0.9,94.07035175879398,-15.262196405697726
0.9,94.52261306532664,-15.26324733832062
0.9,94.9748743718593,-15.264288522289618
0.9,95.42713567839196,-15.265320028841762
0.9,95.87939698492463,-15.26634192921408
0.9,96.33165829145729,-15.267354294643631
0.9,96.78391959798995,-15.268357196367438
0.9,97.23618090452261,-15.269350705622552
0.9,97.68844221105527,-15.27033489364601
0.9,98.14070351758794,-15.271309831674849
0.9,98.5929648241206,-15.272275590946116
0.9,99.04522613065326,-15.273232242696839
0.9,99.49748743718592,-15.27417985816407
0.9,99.9497487437186,-15.27511850858484
0.9,100.40201005025125,-15.276048265196195
0.9,100.85427135678393,-15.276969199235175
0.9,101.30653266331659,-15.277881381938816
0.9,101.75879396984925,-15.278784884544162
0.9,102.21105527638191,-15.279679778288248
0.9,102.66331658291458,-15.280566134408119
0.9,103.11557788944724,-15.281444024140812
0.9,103.5678391959799,-15.28231351872337
0.9,104.02010050251256,-15.283174689392826
0.9,104.47236180904522,-15.28402760738623
0.9,104.92462311557789,-15.284872343940611
0.9,105.37688442211055,-15.285708970293022
0.9,105.82914572864321,-15.28653755768049
0.9,106.28140703517587,-15.28735817734006
0.9,106.73366834170855,-15.288170900508772
0.9,107.1859296482412,-15.288975798423671
0.9,107.63819095477388,-15.28977294232179
0.9,108.09045226130654,-15.290562403440173
0.9,108.5427135678392,-15.291344253015858
0.9,108.99497487437186,-15.292118562285888
0.9,109.44723618090453,-15.292885402487295
0.9,109.89949748743719,-15.293644844857127
0.9,110.35175879396985,-15.294396959383931
0.9,110.80402010050251,-15.295141806141174
0.9,111.25628140703517,-15.295879440474092
0.9,111.70854271356784,-15.296609917698778
0.9,112.1608040201005,-15.297333293131347
0.9,112.61306532663316,-15.298049622087916
0.9,113.06532663316582,-15.298758959884589
0.9,113.5175879396985,-15.299461361837471
0.9,113.96984924623115,-15.300156883262684
0.9,114.42211055276383,-15.300845579476327
0.9,114.87437185929649,-15.301527505794514
0.9,115.32663316582915,-15.302202717533358
0.9,115.77889447236181,-15.30287127000896
0.9,116.23115577889448,-15.303533218537437
0.9,116.68341708542714,-15.30418861843489
0.9,117.1356783919598,-15.304837525017444
0.9,117.58793969849246,-15.305479993601192
0.9,118.04020100502512,-15.306116079502253
0.9,118.49246231155779,-15.30674583803674
0.9,118.94472361809045,-15.30736932452075
0.9,119.39698492462311,-15.307986594270403
0.9,119.84924623115577,-15.308597702601803
0.9,120.30150753768845,-15.309202704105745
0.9,120.7537688442211,-15.309801644941171
0.9,121.20603015075378,-15.310394565827124
0.9,121.65829145728644,-15.310981507391988
0.9,122.1105527638191,-15.31156251026414
0.9,122.56281407035176,-15.31213761507197
0.9,123.01507537688443,-15.312706862443838
0.9,123.46733668341709,-15.313270293008141
0.9,123.91959798994975,-15.313827947393253
0.9,124.37185929648241,-15.314379866227556
0.9,124.82412060301507,-15.314926090139428
0.9,125.27638190954774,-15.315466659757252
0.9,125.7286432160804,-15.316001615709405
0.9,126.18090452261308,-15.31653099862427
0.9,126.63316582914572,-15.317054849130225
0.9,127.0854271356784,-15.31757320785565
0.9,127.53768844221105,-15.318086115428924
0.9,127.98994974874373,-15.31859361247843
0.9,128.44221105527637,-15.319095739632544
0.9,128.89447236180905,-15.319592537519648
0.9,129.3467336683417,-15.320084046768127
0.9,129.79899497487438,-15.320570308006356
0.9,130.25125628140705,-15.32105136148244
0.9,130.7035175879397,-15.321527240617757
0.9,131.15577889447235,-15.321997972928763
0.9,131.60804020100502,-15.322463585737196
0.9,132.0603015075377,-15.322924106364813
0.9,132.51256281407035,-15.323379562133347
0.9,132.96482412060303,-15.323829980364561
0.9,133.41708542713567,-15.32427538838019
0.9,133.86934673366835,-15.324715813501987
0.9,134.321608040201,-15.325151283051694
0.9,134.77386934673368,-15.32558182435107
0.9,135.22613065326632,-15.32600746472185
0.9,135.678391959799,-15.32642823148578
0.9,136.13065326633165,-15.326844151964616
0.9,136.58291457286433,-15.3272552534801
0.9,137.035175879397,-15.327661563353976
0.9,137.48743718592965,-15.328063108908001
0.9,137.9396984924623,-15.328459917463913
0.9,138.39195979899498,-15.328852016343465
0.9,138.84422110552765,-15.329239432868397
0.9,139.2964824120603,-15.329622194360459
0.9,139.74874371859298,-15.330000328141399
0.9,140.20100502512562,-15.33037386135605
0.9,140.6532663316583,-15.330742815783593
0.9,141.10552763819095,-15.331107206999985
0.9,141.55778894472363,-15.331467050235625
0.9,142.01005025125627,-15.33182236072093
0.9,142.46231155778895,-15.332173153686291
0.9,142.9145728643216,-15.332519444362118
0.9,143.36683417085428,-15.332861247978814
0.9,143.81909547738695,-15.333198579766789
0.9,144.2713567839196,-15.333531454956447
0.9,144.72361809045225,-15.333859888778193
0.9,145.17587939698493,-15.334183896462424
0.9,145.6281407035176,-15.33450349323956
0.9,146.08040201005025,-15.334818694339983
0.9,146.53266331658293,-15.335129514994128
0.9,146.98492462311557,-15.335435970432373
0.9,147.43718592964825,-15.335738075885137
0.9,147.8894472361809,-15.336035846582819
0.9,148.34170854271358,-15.336329297755828
0.9,148.79396984924622,-15.336618444634567
0.9,149.2462311557789,-15.336903302449443
0.9,149.69849246231155,-15.337183886430857
0.9,150.15075376884423,-15.337460211749887
0.9,150.6030150753769,-15.337732290017799
0.9,151.05527638190955,-15.338000127328158
0.9,151.5075376884422,-15.33826372929989
0.9,151.95979899497488,-15.338523101551921
0.9,152.41206030150755,-15.338778249703177
0.9,152.8643216080402,-15.339029179372586
0.9,153.31658291457288,-15.33927589617906
0.9,153.76884422110552,-15.339518405741543
0.9,154.2211055276382,-15.339756713678947
0.9,154.67336683417085,-15.339990825610203
0.9,155.12562814070353,-15.340220747154229
0.9,155.5778894472362,-15.34044648392996
0.9,156.03015075376885,-15.340668041556317
0.9,156.4824120603015,-15.34088542565222
0.9,156.93467336683418,-15.341098641836606
0.9,157.38693467336685,-15.34130769572839
0.9,157.8391959798995,-15.341512592946499
0.9,158.29145728643215,-15.341713339109862
0.9,158.74371859296483,-15.341909939837402
0.9,159.1959798994975,-15.342102400748047
0.9,159.64824120603015,-15.34229072746071
0.9,160.1005025125628,-15.342474925582962
0.9,160.55276381909547,-15.342654998875588
0.9,161.00502512562815,-15.342830947226766
0.9,161.4572864321608,-15.343002770037025
0.9,161.90954773869348,-15.343170466706905
0.9,162.36180904522615,-15.343334036636938
0.9,162.8140703517588,-15.343493479227659
0.9,163.26633165829145,-15.343648793879606
0.9,163.71859296482413,-15.343799979993314
0.9,164.1708542713568,-15.343947036969316
0.9,164.62311557788945,-15.34408996420815
0.9,165.0753768844221,-15.344228761110344
0.9,165.52763819095478,-15.344363427076441
0.9,165.97989949748745,-15.344493961506972
0.9,166.4321608040201,-15.344620363802477
0.9,166.88442211055275,-15.344742633363484
0.9,167.33668341708542,-15.344860769590536
0.9,167.7889447236181,-15.34497477188416
0.9,168.24120603015075,-15.345084639644899
0.9,168.69346733668343,-15.345190372273285
0.9,169.1457286432161,-15.34529196916985
0.9,169.59798994974875,-15.345389429735134
0.9,170.0502512562814,-15.34548275336967
0.9,170.50251256281408,-15.345571939473992
0.9,170.95477386934675,-15.345656987448635
0.9,171.4070351758794,-15.345737896694143
0.9,171.85929648241205,-15.345814666611036
0.9,172.31155778894473,-15.345887296599862
0.9,172.7638190954774,-15.345955786061147
0.9,173.21608040201005,-15.346020134395431
0.9,173.6683417085427,-15.346080341003251
0.9,174.12060301507537,-15.34613640528514
0.9,174.57286432160805,-15.346188326641634
0.9,175.0251256281407,-15.346236104473265
0.9,175.47738693467338,-15.34627973818057
0.9,175.92964824120605,-15.346319227164086
0.9,176.3819095477387,-15.346354570824346
0.9,176.83417085427135,-15.346385768561888
0.9,177.28643216080403,-15.346412819777242
0.9,177.7386934673367,-15.34643572387095
0.9,178.19095477386935,-15.34645448024354
0.9,178.643216080402,-15.346469088295548
0.9,179.09547738693468,-15.346479547427517
0.9,179.54773869346735,-15.346485857039978
0.9,180.0,-15.346488016533462
0.907537688442211,90.0,-15.26293278850895
0.907537688442211,90.45226130653266,-15.264074404866767
0.907537688442211,90.90452261306532,-15.26520564418248
0.907537688442211,91.35678391959799,-15.266326577750602
0.907537688442211,91.80904522613065,-15.26743727686564
0.907537688442211,92.26130653266331,-15.268537812822112
0.907537688442211,92.71356783919597,-15.26962825691452
0.907537688442211,93.16582914572864,-15.270708680437396
0.907537688442211,93.61809045226131,-15.271779154685227
0.907537688442211,94.07035175879398,-15.27283975095254
0.907537688442211,94.52261306532664,-15.273890540533847
0.907537688442211,94.9748743718593,-15.274931594723654
0.907537688442211,95.42713567839196,-15.275962984816479
0.907537688442211,95.87939698492463,-15.27698478210682
0.907537688442211,96.33165829145729,-15.277997057889216
0.907537688442211,96.78391959798995,-15.278999883458148
0.907537688442211,97.23618090452261,-15.279993330108152
0.907537688442211,97.68844221105527,-15.28097746913373
0.907537688442211,98.14070351758794,-15.281952371829385
0.907537688442211,98.5929648241206,-15.28291810948965
0.907537688442211,99.04522613065326,-15.283874753409023
0.907537688442211,99.49748743718592,-15.284822374882008
