distance,hf,vqe,exact,n_qubits,n_params
0.9,-195.2194087598143,-195.2288949886688,-195.22889507753553,10,35
1.0,-195.6380414586451,-195.65256029652875,-195.65256029822172,10,35
1.1,-195.8534692801683,-195.8760500898104,-195.87605009071495,10,35
1.2,-195.95187318668613,-195.986310053046,-195.98631018445286,10,35
1.2999999999999998,-195.98122757753873,-196.03179278789457,-196.03179294886678,10,35
1.4,-195.97046128409443,-196.0416329092188,-196.04163312155157,10,35
1.5,-195.9381441023582,-196.03425792093273,-196.03425828927308,10,35
1.5999999999999999,-195.8961201219866,-196.02086931375268,-196.0208695224866,10,35
1.6999999999999997,-195.85144176765866,-196.00736548013444,-196.00736574663583,10,35
1.7999999999999998,-195.80793276421,-195.99613616901863,-195.9961371468041,10,35
1.9,-195.7675103154734,-195.98768677315812,-195.98768958444236,10,35
1.9999999999999996,-195.73109815321607,-195.98173961658898,-195.9817463893131,10,35
2.0999999999999996,-195.69910731060182,-195.97780016416291,-195.97780070378877,10,35
2.1999999999999997,-195.6716262407355,-195.9753273342997,-195.97533467617976,10,35
2.3,-195.64849079833007,-195.97387036629098,-195.97390002077017,10,35
2.3999999999999995,-195.62933915566774,-195.97307473782914,-195.97337005238342,10,35
2.4999999999999996,-195.6136819175192,-195.97268206951924,-195.97333888896486,10,35
