bond,angle,hf,vqe,exact,n_qubits,n_params
0.958,70.0,-74.91237980333628,-74.9235063943508,-74.9235066442374,6,26
0.958,75.0,-74.92852299405101,-74.93891250483212,-74.93891273283592,6,26
0.958,80.0,-74.9413316100889,-74.95107304810321,-74.95107325223367,6,26
0.958,85.0,-74.95103423045971,-74.96020382219264,-74.96020401213326,6,26
0.958,90.0,-74.95784079637826,-74.96650135554147,-74.96650176798842,6,26
0.958,95.0,-74.96195292928593,-74.97015547876741,-74.97015589984335,6,26
0.958,100.0,-74.96356812870272,-74.97135291851563,-74.9713532011578,6,26
0.958,105.0,-74.96288191523507,-74.97027981174067,-74.9702802682829,6,26
0.958,110.0,-74.9600900571642,-74.96712520098308,-74.96712581505447,6,26
0.958,115.0,-74.95539183415309,-74.96208312147299,-74.96208388461342,6,26
0.958,120.0,-74.94899466612583,-74.95535782744327,-74.95535860245863,6,26
0.958,125.0,-74.9411201385167,-74.94716956833781,-74.9471703199186,6,26
0.958,130.0,-74.9320112788424,-74.93776233655166,-74.93776315962648,6,26
0.958,135.0,-74.92194071134998,-74.92741255931585,-74.92741349710364,6,26
0.958,140.0,-74.91121888552786,-74.91643738554377,-74.91643843275962,6,26
0.958,145.0,-74.90020081841051,-74.90520091831596,-74.90520237269706,6,26
0.958,150.0,-74.88928870961082,-74.89411722096013,-74.89411854144133,6,26
0.958,155.0,-74.87892673289252,-74.88363971613228,-74.8836410948269,6,26
0.958,160.0,-74.86958423731355,-74.87424256540024,-74.87424381866384,6,26
