oo,oh,angle,dihedral,hf,vqe,exact,n_qubits,n_params,n_evaluations
1.458,0.988,80.0,111.5,-148.7145042719802,-148.767895102808,-148.7690777495214,10,92,1000
1.458,0.988,85.0,111.5,-148.73447365035793,-148.7862811077204,-148.7864833207973,10,92,1000
1.458,0.988,90.0,111.5,-148.7486496514096,-148.7976504319406,-148.79807084350614,10,92,1000
1.458,0.988,95.0,111.5,-148.75708110721934,-148.8003812156167,-148.80335441786187,10,92,1000
1.458,0.988,100.0,111.5,-148.75995979188252,-148.7949016345848,-148.79560105275917,10,92,1000
1.458,0.988,105.0,111.5,-148.75755734204708,-148.78787247097767,-148.78914997277514,10,92,1000
1.458,0.988,110.0,111.5,-148.750190145656,-148.77844411053147,-148.7788119937474,10,92,1000
1.458,0.988,115.0,111.5,-148.73820114644428,-148.76462045765328,-148.76490634753367,10,92,1000
1.458,0.988,120.0,111.5,-148.72195245684082,-148.74733221020063,-148.74761694992,10,92,1000
1.458,0.988,125.0,111.5,-148.7018252659361,-148.72583329594485,-148.72716118279703,10,92,1000
1.458,0.988,130.0,111.5,-148.67822480201346,-148.70304707360887,-148.7038548665298,10,92,1000
1.458,0.988,135.0,111.5,-148.65158876621283,-148.6769038106367,-148.67812640653267,10,92,1000
1.458,0.988,140.0,111.5,-148.62239800919963,-148.65003509857695,-148.65052895745794,10,92,1000
