oo,oh,angle,dihedral,hf,vqe,exact,n_qubits,n_params,n_evaluations
1.0,0.988,101.9,111.5,-148.35655546415435,-148.37530808258398,-148.37580375389038,10,92,1000
1.1,0.988,101.9,111.5,-148.58110944004696,-148.59573101594182,-148.59749668146947,10,92,1000
1.2000000000000002,0.988,101.9,111.5,-148.69871700427638,-148.71270334927775,-148.71340015369344,10,92,1000
1.3000000000000003,0.988,101.9,111.5,-148.7516287416665,-148.76535295107377,-148.76587896441796,10,92,1000
1.4000000000000004,0.988,101.9,111.5,-148.76439907777734,-148.78952392802586,-148.79011749240595,10,92,1000
1.5000000000000004,0.988,101.9,111.5,-148.75225829420975,-148.79273183993436,-148.79311109302984,10,92,1000
1.6000000000000005,0.988,101.9,111.5,-148.72541783809302,-148.78581146377454,-148.78634896862945,10,92,1000
1.7000000000000006,0.988,101.9,111.5,-148.69098773818013,-148.77426855931728,-148.77636529283868,10,92,1000
1.8000000000000007,0.988,101.9,111.5,-148.6537855708995,-148.7642133450869,-148.7660736807978,10,92,1000
1.9000000000000008,0.988,101.9,111.5,-148.61682796040276,-148.75641885574962,-148.75686076280803,10,92,1000
2.000000000000001,0.988,101.9,111.5,-148.58180901903768,-148.74862080183536,-148.74928965961732,10,92,1000
2.100000000000001,0.988,101.9,111.5,-148.5495679018789,-148.7425453545517,-148.74341915768676,10,92,1000
2.200000000000001,0.988,101.9,111.5,-148.52046102491795,-148.7385562840103,-148.7390585979597,10,92,1000
2.300000000000001,0.988,101.9,111.5,-148.49459456821518,-148.73582867479752,-148.73593689138147,10,92,1000
2.4000000000000012,0.988,101.9,111.5,-148.4719362283532,-148.73229209144029,-148.73255326668647,10,92,1000
2.5000000000000013,0.988,101.9,111.5,-148.4523566430738,-148.73118579713702,-148.73143426097056,10,92,1000
2.6000000000000014,0.988,101.9,111.5,-148.4356463563992,-148.73068778892744,-148.73076840298862,10,92,1000
2.7000000000000015,0.988,101.9,111.5,-148.42153324984085,-148.73026725651604,-148.73040329905785,10,92,1000
2.8000000000000016,0.988,101.9,111.5,-148.4097063097433,-148.7300306227075,-148.73022357716687,10,92,1000
2.9000000000000017,0.988,101.9,111.5,-148.3998417994352,-148.7298024701911,-148.7301842676211,10,92,1000
3.0000000000000018,0.988,101.9,111.5,-148.39162616805055,-148.7297974196842,-148.7302033005966,10,92,1000
