oo,oh,angle,dihedral,hf,vqe,exact,n_qubits,n_params,n_evaluations
1.458,0.988,80.0,0.0,-148.66685908477254,-148.72838290991905,-148.72916345820204,10,92,1000
1.458,0.988,80.0,20.0,-148.67383422500737,-148.73448867875194,-148.73500671708996,10,92,1000
1.458,0.988,80.0,40.0,-148.68871948827234,-148.74718723716046,-148.74750935915907,10,92,1000
1.458,0.988,80.0,60.0,-148.70217681099828,-148.75861278230647,-148.7588794279812,10,92,1000
1.458,0.988,80.0,80.0,-148.71029892758207,-148.76564526542782,-148.7658441840228,10,92,1000
1.458,0.988,80.0,100.0,-148.71377678887268,-148.7689074885195,-148.76908706923393,10,92,1000
1.458,0.988,80.0,120.0,-148.71472716848018,-148.77034069557092,-148.7705221947446,10,92,1000
1.458,0.988,80.0,140.0,-148.7148177523112,-148.77148723938114,-148.77169526709744,10,92,1000
1.458,0.988,80.0,160.0,-148.7148024155025,-148.77335010316705,-148.77369854376542,10,92,1000
1.458,0.988,80.0,180.0,-148.7148075882511,-148.77570679938006,-148.77608140443655,10,92,1000
1.458,0.988,95.0,180.0,-148.75908325379794,-148.81142650579375,-148.81234943377854,10,92,1000
1.458,0.988,95.0,160.0,-148.7588866041175,-148.80138936115785,-148.80187628190416,10,92,1000
1.458,0.988,95.0,140.0,-148.75834908449366,-148.78929916520335,-148.789752680123,10,92,1000
1.458,0.988,95.0,120.0,-148.75753360928417,-148.77996417425948,-148.78031223869718,10,92,1000
1.458,0.988,95.0,100.0,-148.75630366080682,-148.77343685004297,-148.77367820178782,10,92,1000
1.458,0.988,95.0,80.0,-148.75419515717326,-148.76850027344065,-148.76867590312236,10,92,1000
1.458,0.988,95.0,60.0,-148.75063418842046,-148.76361326021248,-148.76374357564686,10,92,1000
1.458,0.988,95.0,40.0,-148.74566774105827,-148.75815264344735,-148.75825797120442,10,92,1000
1.458,0.988,95.0,20.0,-148.74081836757387,-148.75321102908228,-148.75330803190417,10,92,1000
1.458,0.988,95.0,0.0,-148.73872605917668,-148.75107851827815,-148.75122405193574,10,92,1000
1.458,0.988,110.0,0.0,-148.74301226286232,-148.75527355316007,-148.75538268527524,10,92,1000
1.458,0.988,110.0,20.0,-148.74393725674634,-148.75648384864257,-148.75659100617335,10,92,1000
1.458,0.988,110.0,40.0,-148.74617188061976,-148.7596374246664,-148.75972257392914,10,92,1000
1.458,0.988,110.0,60.0,-148.74855372578514,-148.76366681507128,-148.7637888275901,10,92,1000
1.458,0.988,110.0,80.0,-148.75011062008275,-148.76796325541576,-148.76813776989496,10,92,1000
1.458,0.988,110.0,100.0,-148.75047022616477,-148.77237999797427,-148.77266122803954,10,92,1000
1.458,0.988,110.0,120.0,-148.74981813387197,-148.77697042238387,-148.77728831743923,10,92,1000
1.458,0.988,110.0,140.0,-148.74867733026196,-148.7812882894495,-148.7816524582434,10,92,1000
1.458,0.988,110.0,160.0,-148.74766459978238,-148.78479895464554,-148.78518250594885,10,92,1000
1.458,0.988,110.0,180.0,-148.74726573592756,-148.78629180038712,-148.7866872984648,10,92,1000
1.458,0.988,125.0,180.0,-148.69086667877087,-148.72514543497618,-148.72563149181076,10,92,1000
1.458,0.988,125.0,160.0,-148.69216565073842,-148.72570716057365,-148.72613670167024,10,92,1000
1.458,0.988,125.0,140.0,-148.6955893282842,-148.72700348608439,-148.72738353187415,10,92,1000
1.458,0.988,125.0,120.0,-148.69998351686527,-148.72825307055984,-148.7285827785926,10,92,1000
1.458,0.988,125.0,100.0,-148.70407946793728,-148.7286381560515,-148.72888912823908,10,92,1000
1.458,0.988,125.0,80.0,-148.70697469396038,-148.72786885957973,-148.72804551807926,10,92,1000
1.458,0.988,125.0,60.0,-148.70836266108506,-148.7262928002385,-148.72640109615057,10,92,1000
1.458,0.988,125.0,40.0,-148.70853044190758,-148.72444317852197,-148.7245195311543,10,92,1000
1.458,0.988,125.0,20.0,-148.70815633613947,-148.72296239175958,-148.7230094520296,10,92,1000
1.458,0.988,125.0,0.0,-148.70793366342176,-148.72237267220862,-148.722426439719,10,92,1000
1.458,0.988,140.0,0.0,-148.64414321917747,-148.66109894655034,-148.66115150872767,10,92,1000
1.458,0.988,140.0,20.0,-148.64362416477113,-148.66100628635613,-148.661073957545,10,92,1000
1.458,0.988,140.0,40.0,-148.64193040990253,-148.66063879585894,-148.66076480336642,10,92,1000
1.458,0.988,140.0,60.0,-148.63873623781734,-148.65983307407708,-148.65998223371736,10,92,1000
1.458,0.988,140.0,80.0,-148.63374173494265,-148.65806203328506,-148.6582938666454,10,92,1000
1.458,0.988,140.0,100.0,-148.62694180835598,-148.65488147785572,-148.65520900949332,10,92,1000
1.458,0.988,140.0,120.0,-148.61888391988225,-148.65021830784949,-148.65063287550618,10,92,1000
1.458,0.988,140.0,140.0,-148.61084062796627,-148.64486695662,-148.64535221294418,10,92,1000
1.458,0.988,140.0,160.0,-148.60471441986812,-148.64045541174468,-148.64101082232798,10,92,1000
1.458,0.988,140.0,180.0,-148.6023985008178,-148.63874795180817,-148.6393229738052,10,92,1000
