degree,max_mha,rms_mha,mae_mha
1,28.2146180090308,20.976156382949217,18.960506877572346
2,6.834649181428176,3.5269492307601706,2.7412520242493925
3,3.3955302552328703,1.8660803859446973,1.5397533660900948
4,2.394758183640988,1.458929066294408,1.284028908959168
5,2.5452867508022337,1.2522889311463603,1.0289985565996382
6,3.203968818439762,1.5290626780209673,1.3108638397909544
7,3.554089578898356,1.3975615751598738,1.023560380068809
8,4.981650509392921,1.9929341931834619,1.4113227483547193
9,7.059877586982566,2.3425206930267612,1.4043916888769299
10,23.2549193066518,9.6742083433186,5.548672947244623
11,21.02215233017546,9.127913756029313,4.901032286651033
