distance,hf,vqe,exact,n_qubits,n_params,n_evaluations
0.9,-7.705753340141256,-7.722834554681542,-7.7228345921894395,8,24,176
1.15,-7.823710990035459,-7.840175201693087,-7.840175223766698,8,24,125
1.4,-7.860538661021138,-7.878230006149221,-7.878230653191286,8,24,126
1.6499999999999997,-7.859851704334227,-7.880946689610778,-7.880946728933896,8,24,151
1.8999999999999995,-7.841112040771398,-7.867988711303983,-7.867988787415269,8,24,150
2.1499999999999995,-7.813946986438174,-7.849305070983517,-7.849305156737092,8,24,150
2.3999999999999995,-7.783381627155391,-7.830342782639096,-7.830342952207784,8,24,150
2.649999999999999,-7.7522179449715525,-7.81417191781471,-7.814171939978447,8,24,176
2.899999999999999,-7.722218783149364,-7.802146611942033,-7.8021466520692195,8,24,175
3.149999999999999,-7.6945857779398015,-7.794128858062784,-7.794128904037579,8,24,200
3.399999999999999,-7.670060349511423,-7.789145283759978,-7.789145387260315,8,24,200
3.6499999999999986,-7.648946474715974,-7.786159869962647,-7.786159931301816,8,24,200
3.8999999999999986,-7.631193460716033,-7.7844057962715265,-7.784405836831086,8,24,200
