r_nn,r_no,angle,hf,vqe,exact,n_qubits,n_params
1.128,1.185,90.0,-181.0202406496841,-181.08813324480016,-181.09527857771693,6,26
1.128,1.185,95.0,-181.01038110732011,-181.07563762958367,-181.0871506955993,6,26
1.128,1.185,100.0,-181.00693374255192,-181.0659250003428,-181.07407917226206,6,26
1.128,1.185,105.0,-181.01526738794274,-181.06429140284567,-181.0827825807894,6,26
1.128,1.185,110.0,-181.0326631121083,-181.08191658001928,-181.10176702497967,6,26
1.128,1.185,115.0,-181.05432431630865,-181.11243209042198,-181.11548013200675,6,26
1.128,1.185,120.0,-181.07691023326382,-181.1432844834588,-181.14912892758406,6,26
1.128,1.185,125.0,-181.09841130134473,-181.16425874774316,-181.17659018655695,6,26
1.128,1.185,130.0,-181.1177028419163,-181.1895858278259,-181.19900242347978,6,26
1.128,1.185,135.0,-181.13432397211386,-181.20967326448377,-181.2173863140661,6,26
1.128,1.185,140.0,-181.14827745723693,-181.22563597778534,-181.23255108230285,6,26
1.128,1.185,145.0,-181.15978743675248,-181.23850684560685,-181.2451166488741,6,26
1.128,1.185,150.0,-181.16913637154724,-181.2490043547756,-181.25555585146316,6,26
1.128,1.185,155.0,-181.1765932424879,-181.2576492271714,-181.2642236794767,6,26
1.128,1.185,160.0,-181.18238878173312,-181.26467540617972,-181.2713648230106,6,26
1.128,1.185,165.0,-181.18670920488648,-181.27027280267825,-181.27710107081444,6,26
1.128,1.185,170.0,-181.18969633649286,-181.2705740343696,-181.28141098452141,6,26
1.128,1.185,175.0,-181.19144949570378,-181.2731575219744,-181.2841378488369,6,26
1.128,1.185,180.0,-181.19202740718913,-181.27824698743757,-181.28507875237142,6,26
