r_nn,r_no,angle,hf,vqe,exact,n_qubits,n_params
0.9,1.185,180.0,-180.8476996340338,-180.89479205639276,-180.90339321178416,8,54
1.0,1.185,180.0,-181.09300217502434,-181.15588388050625,-181.16506689578947,8,54
1.1,1.185,180.0,-181.18383599658821,-181.2667827124676,-181.27383102510933,8,54
1.2,1.185,180.0,-181.19076064843557,-181.29756773630874,-181.30089294778028,8,54
1.2999999999999998,1.185,180.0,-181.15552430213103,-181.28732859499914,-181.28835015482386,8,54
1.4,1.185,180.0,-181.1028933402704,-181.2556706727389,-181.2574570972855,8,54
1.5,1.185,180.0,-181.04752786110348,-181.21097724075827,-181.2167382365019,8,54
1.5999999999999999,1.185,180.0,-180.99732951493104,-181.15952807622648,-181.1740797120442,8,54
1.6999999999999997,1.185,180.0,-180.95506464257932,-181.11634995801558,-181.1398605590282,8,54
1.7999999999999998,1.185,180.0,-180.92036293523554,-181.09898387566884,-181.11784312566417,8,54
1.9,1.185,180.0,-180.89181924089092,-181.09253995440633,-181.10496389672684,8,54
1.9999999999999996,1.185,180.0,-180.8680852458129,-181.0897814367752,-181.09754853470753,8,54
2.0999999999999996,1.185,180.0,-180.84812977650063,-181.08846123923695,-181.09325987134622,8,54
2.1999999999999997,1.185,180.0,-180.83120407061688,-181.0877593353015,-181.09075119863985,8,54
