r_nn,r_no,angle,hf,vqe,exact,n_qubits,n_params
1.128,0.9,180.0,-180.74900604845234,-180.8599444176011,-180.86166200893754,8,54
1.128,1.0,180.0,-181.02682774130392,-181.13988640373557,-181.14078217678946,8,54
1.128,1.1,180.0,-181.15119493336917,-181.25619287491298,-181.2583909443132,8,54
1.128,1.2,180.0,-181.19549557864866,-181.2813405852283,-181.28828713722106,8,54
1.128,1.2999999999999998,180.0,-181.2023287782319,-181.26232984283027,-181.27445806523892,8,54
1.128,1.4,180.0,-181.19564161593004,-181.23085043497133,-181.24169701993992,8,54
1.128,1.5,180.0,-181.18717858926786,-181.20472765159946,-181.2095004558678,8,54
1.128,1.5999999999999999,180.0,-181.18088410845527,-181.18913798809345,-181.19021955255386,8,54
1.128,1.6999999999999997,180.0,-181.17690312408865,-181.18159429584117,-181.1817573214114,8,54
1.128,1.7999999999999998,180.0,-181.17437327159234,-181.17806660580408,-181.17808936238362,8,54
1.128,1.9,180.0,-181.1725814479872,-181.1760936845718,-181.1760973702108,8,54
1.128,1.9999999999999996,180.0,-181.17114302182614,-181.17467773272492,-181.17467850062658,8,54
1.128,2.0999999999999996,180.0,-181.1698891472081,-181.17348039073653,-181.17348095618286,8,54
1.128,2.1999999999999997,180.0,-181.16875808322968,-181.17240120124342,-181.17240129713315,8,54
1.128,2.3,180.0,-181.16773613940828,-181.17141893874094,-181.1714191073497,8,54
