r_nn,r_no,angle,hf,vqe,exact,n_qubits,n_params
0.9,0.95,180.0,-180.57045435660407,-180.64341975674037,-180.64494797474967,6,26
1.05,0.95,180.0,-180.8731259636345,-180.97102368750404,-180.97139486181223,6,26
1.2000000000000002,0.95,180.0,-180.91432082746067,-181.03511679417684,-181.03705320675982,6,26
1.35,0.95,180.0,-180.86372994913455,-180.99752899515562,-181.00542474165263,6,26
1.5,0.95,180.0,-180.7961009058101,-180.92743713644094,-180.94938677502734,6,26
1.6500000000000001,0.95,180.0,-180.7379542251185,-180.8771044835941,-180.90416706898057,6,26
1.8000000000000003,0.95,180.0,-180.69270086796055,-180.85983702031572,-180.87689221025613,6,26
1.9500000000000002,0.95,180.0,-180.65743074830797,-180.85282238347685,-180.86217990535377,6,26
2.1,0.95,180.0,-180.62944638877863,-180.84974063357137,-180.85468574838293,6,26
2.25,0.95,180.0,-180.60699461960252,-180.8482232079054,-180.85089431919982,6,26
2.25,1.0999999999999999,180.0,-180.80741181322747,-181.06537637416352,-181.0676381918299,6,26
2.1,1.0999999999999999,180.0,-180.83110759070735,-181.06687407665825,-181.07129011494453,6,26
1.9500000000000002,1.0999999999999999,180.0,-180.86116937889327,-181.0701013444385,-181.07886042848332,6,26
1.8000000000000003,1.0999999999999999,180.0,-180.8999786142884,-181.07661840727084,-181.09482249971754,6,26
1.6500000000000001,1.0999999999999999,180.0,-180.95114176236794,-181.10183999043082,-181.12752137936295,6,26
1.5,1.0999999999999999,180.0,-181.0179860136396,-181.17274711158663,-181.18341090574603,6,26
1.35,1.0999999999999999,180.0,-181.09485867881492,-181.2408994078704,-181.24339803357896,6,26
1.2000000000000002,1.0999999999999999,180.0,-181.15117357798638,-181.26958885224514,-181.2704619887539,6,26
1.05,1.0999999999999999,180.0,-181.11071272712485,-181.1962281094493,-181.20013085196697,6,26
0.9,1.0999999999999999,180.0,-180.80496325921314,-180.8624002565303,-180.86892678703384,6,26
0.9,1.2499999999999998,180.0,-180.86063957610054,-180.89443542698552,-180.90288889679653,6,26
1.05,1.2499999999999998,180.0,-181.16340616375678,-181.21903619568164,-181.2302660237124,6,26
1.2000000000000002,1.2499999999999998,180.0,-181.199138647246,-181.2878400436579,-181.29489457653705,6,26
1.35,1.2499999999999998,180.0,-181.1348238641826,-181.2652403212867,-181.26636031856322,6,26
1.5,1.2499999999999998,180.0,-181.0468883767895,-181.20933980617042,-181.21226266133675,6,26
1.6500000000000001,1.2499999999999998,180.0,-180.969621344392,-181.1342697790868,-181.14920805180233,6,26
1.8000000000000003,1.2499999999999998,180.0,-180.91157437840747,-181.08725944532497,-181.1063947120425,6,26
1.9500000000000002,1.2499999999999998,180.0,-180.86881519834375,-181.07770774785362,-181.08765134691072,6,26
2.1,1.2499999999999998,180.0,-180.83649717512014,-181.07552713399951,-181.08004131822167,6,26
2.25,1.2499999999999998,180.0,-180.8114671751145,-181.07485106424983,-181.0768080535525,6,26
2.25,1.3999999999999997,180.0,-180.74094067363944,-181.00232846982058,-181.00397067949737,6,26
2.1,1.3999999999999997,180.0,-180.76771318472956,-181.0016422703853,-181.0062325608183,6,26
1.9500000000000002,1.3999999999999997,180.0,-180.80310578234423,-181.00283169307383,-181.01419644959557,6,26
1.8000000000000003,1.3999999999999997,180.0,-180.85159194238204,-181.02153777979294,-181.03973646748057,6,26
1.6500000000000001,1.3999999999999997,180.0,-180.9201921156545,-181.08785425686193,-181.09217529471314,6,26
