angle,polynomial,linear
90.0,-181.08813324479877,-181.08813324480016
90.22556390977444,-180.48685461124555,-181.08756953283552
90.45112781954887,-180.05902419416674,-181.08700582087084
90.67669172932331,-179.77194434688363,-181.0864421089062
90.90225563909775,-179.59773277685096,-181.08587839694155
91.12781954887218,-179.5127352878122,-181.08531468497688
91.35338345864662,-179.49699937966736,-181.08475097301223
91.57894736842105,-179.5338032803649,-181.0841872610476
91.80451127819549,-179.6092354024553,-181.08362354908294
92.03007518796993,-179.7118196073267,-181.08305983711827
92.25563909774436,-179.83218202426562,-181.08249612515363
92.4812030075188,-179.96275551082283,-181.08193241318898
92.70676691729324,-180.0975181570004,-181.0813687012243
92.93233082706767,-180.23176252982842,-181.08080498925966
93.15789473684211,-180.36189262833966,-181.08024127729502
93.38345864661655,-180.48524577300947,-181.07967756533034
93.60902255639098,-180.59993688953244,-181.0791138533657
93.83458646616542,-180.70472286553792,-181.07855014140105
94.06015037593986,-180.79888486154346,-181.07798642943638
94.28571428571429,-180.88212664505437,-181.07742271747173
94.51127819548873,-180.9544871903178,-181.0768590055071
94.73684210526315,-181.01626594655724,-181.07629529354244
94.9624060150376,-181.06795932557552,-181.07573158157777
95.18796992481202,-181.11020709608272,-181.07527249314603
95.41353383458646,-181.1437474978233,-181.0748343294209
95.6390977443609,-181.16938000423278,-181.07439616569573
95.86466165413533,-181.18793476862632,-181.0739580019706
96.09022556390977,-181.2002478864564,-181.07351983824543
96.3157894736842,-181.20714169555873,-181.07308167452027
96.54135338345864,-181.20940941813947,-181.07264351079513
96.76691729323308,-181.2078035230234,-181.07220534706997
96.99248120300751,-181.20302725494042,-181.07176718334483
97.21804511278195,-181.19572883981235,-181.07132901961967
97.44360902255639,-181.18649793155856,-181.0708908558945
97.66917293233082,-181.1758639173261,-181.07045269216937
97.89473684210526,-181.16429574459326,-181.0700145284442
98.1203007518797,-181.15220297572517,-181.06957636471907
98.34586466165413,-181.13993781357996,-181.0691382009939
98.57142857142857,-181.1277978760115,-181.06870003726874
98.796992481203,-181.11602952789363,-181.0682618735436
99.02255639097744,-181.1048316068742,-181.06782370981844
99.24812030075188,-181.09435940372234,-181.0673855460933
99.47368421052632,-181.0847287801115,-181.06694738236814
99.69924812030075,-181.07602032619803,-181.06650921864298
99.92481203007519,-181.06828347763513,-181.06607105491784
100.15037593984962,-181.0615405269044,-181.065875869591
100.37593984962406,-181.0557904772215,-181.0658021734633
100.6015037593985,-181.05101269897037,-181.06572847733563
100.82706766917293,-181.04717035878056,-181.06565478120794
101.05263157894737,-181.04421360014797,-181.06558108508023
101.2781954887218,-181.04208246203328,-181.06550738895254
101.50375939849624,-181.04070952828874,-181.06543369282485
101.72932330827068,-181.04002230617493,-181.06535999669717
101.95488721804512,-181.03994533673983,-181.06528630056948
102.18045112781955,-181.04040204354578,-181.0652126044418
