r_nn,polynomial,linear
0.9,-180.89479205639236,-180.89479205639276
0.9032581453634085,-180.91315137552286,-180.90329880755436
0.906516290726817,-180.92997619458544,-180.91180555871594
0.9097744360902256,-180.94542817413637,-180.92031230987754
0.9130325814536341,-180.9596541839445,-180.92881906103912
0.9162907268170426,-180.97278740540614,-180.93732581220073
0.9195488721804511,-180.98494836697864,-180.9458325633623
0.9228070175438596,-180.99624591594812,-180.9543393145239
0.9260651629072681,-181.0067781297144,-180.9628460656855
0.9293233082706767,-181.016633169648,-180.9713528168471
0.9325814536340853,-181.0258900804499,-180.9798595680087
0.9358395989974937,-181.03461953782437,-180.98836631917027
0.9390977443609023,-181.04288454715933,-180.99687307033187
0.9423558897243108,-181.05074109579553,-181.00537982149345
0.9456140350877194,-181.05823876135753,-181.01388657265505
0.9488721804511279,-181.06542127851404,-181.02239332381666
0.9521303258145364,-181.07232706643362,-181.03090007497823
0.9553884711779449,-181.0789897191031,-181.03940682613984
0.9586466165413534,-181.08543846058166,-181.04791357730141
0.9619047619047619,-181.09169856717136,-181.05642032846302
0.9651629072681704,-181.09779175839665,-181.0649270796246
0.968421052631579,-181.10373655860002,-181.0734338307862
0.9716791979949875,-181.10954863087807,-181.0819405819478
0.974937343358396,-181.11524108500336,-181.09044733310938
0.9781954887218045,-181.12082476090032,-181.09895408427099
0.981453634085213,-181.12630848916984,-181.10746083543256
0.9847117794486215,-181.13169933008572,-181.11596758659417
0.98796992481203,-181.13700279241775,-181.12447433775574
0.9912280701754386,-181.1422230333702,-181.13298108891735
0.9944862155388471,-181.14736304086088,-181.14148784007895
0.9977443609022556,-181.15242479930458,-181.14999459124053
1.0010025062656642,-181.157409440006,-181.1569956482452
1.0042606516290726,-181.16231737721145,-181.16060889339684
1.0075187969924813,-181.1671484308125,-181.16422213854847
1.0107769423558897,-181.17190193664482,-181.1678353837001
1.0140350877192983,-181.17657684527336,-181.1714486288517
1.0172932330827067,-181.1811718101083,-181.17506187400332
1.0205513784461153,-181.1856852656491,-181.17867511915495
1.0238095238095237,-181.19011549661064,-181.18228836430657
1.0270676691729324,-181.19446069864202,-181.1859016094582
1.030325814536341,-181.19871903130905,-181.18951485460983
1.0335839598997494,-181.20288866397183,-181.19312809976145
1.0368421052631578,-181.20696781515173,-181.19674134491308
1.0401002506265664,-181.21095478594683,-181.20035459006468
1.043358395989975,-181.2148479880204,-181.2039678352163
1.0466165413533834,-181.21864596665534,-181.20758108036793
1.049874686716792,-181.22234741933485,-181.21119432551956
1.0531328320802005,-181.2259512102821,-181.21480757067118
1.056390977443609,-181.22945638136187,-181.2184208158228
1.0596491228070175,-181.23286215972095,-181.22203406097444
1.0629072681704261,-181.23616796251778,-181.22564730612604
1.0661654135338345,-181.23937339906905,-181.22926055127766
1.0694235588972432,-181.24247827071542,-181.2328737964293
1.0726817042606516,-181.2454825686888,-181.23648704158092
1.0759398496240602,-181.24838647024126,-181.24010028673254
1.0791979949874686,-181.25119033327627,-181.24371353188417
1.0824561403508772,-181.25389468970445,-181.2473267770358
1.0857142857142856,-181.25650023772778,-181.25094002218742
1.0889724310776943,-181.25900783323928,-181.25455326733902
1.0922305764411027,-181.2614184805104,-181.25816651249065
1.0954887218045113,-181.2637333223214,-181.26177975764227
1.0987468671679197,-181.2659536296778,-181.2653930027939
1.1020050125313283,-181.26808079124112,-181.2673999560534
1.1052631578947367,-181.2701163025908,-181.26840297688028
1.1085213032581454,-181.27206175542122,-181.2694059977072
1.111779448621554,-181.2739188267677,-181.2704090185341
1.1150375939849624,-181.27568926834425,-181.271412039361
1.118295739348371,-181.27737489606662,-181.2724150601879
1.1215538847117794,-181.27897757982484,-181.27341808101482
1.124812030075188,-181.28049923356096,-181.2744211018417
1.1280701754385964,-181.28194180570014,-181.27542412266862
1.131328320802005,-181.28330726997575,-181.27642714349554
1.1345864661654135,-181.28459761668205,-181.27743016432242
1.137844611528822,-181.28581484438226,-181.27843318514934
1.1411027568922305,-181.28696095209386,-181.27943620597622
1.1443609022556391,-181.28803793196738,-181.28043922680314
1.1476190476190475,-181.2890477624705,-181.28144224763005
1.1508771929824562,-181.28999240208435,-181.28244526845694
1.1541353383458646,-181.2908737835154,-181.28344828928385
1.1573934837092732,-181.29169380842163,-181.28445131011077
1.1606516290726816,-181.29245434264996,-181.28545433093765
1.1639097744360902,-181.29315721197705,-181.28645735176457
1.1671679197994989,-181.29380419834422,-181.28746037259148
1.1704260651629073,-181.29439703657474,-181.28846339341837
1.1736842105263157,-181.29493741155838,-181.28946641424528
1.1769423558897243,-181.29542695588864,-181.2904694350722
1.180200501253133,-181.2958672479337,-181.29147245589908
1.1834586466165413,-181.29625981032325,-181.292475476726
1.1867167919799497,-181.2966061088308,-181.29347849755288
1.1899749373433584,-181.29690755163028,-181.2944815183798
1.193233082706767,-181.29716548890605,-181.2954845392067
1.1964912280701754,-181.29738121279328,-181.2964875600336
1.199749373433584,-181.29755595762688,-181.2974905808605
1.2030075187969924,-181.2976909004756,-181.2972597922092
1.206265664160401,-181.29778716193923,-181.29692618610136
1.2095238095238094,-181.2978458071852,-181.29659257999353
1.212781954887218,-181.29786784720278,-181.2962589738857
1.2160401002506265,-181.29785424025215,-181.29592536777787
1.219298245614035,-181.2978058934866,-181.29559176167004
1.2225563909774435,-181.29772366472625,-181.2952581555622
1.2258145363408521,-181.29760836436245,-181.29492454945438
1.2290726817042605,-181.29746075737296,-181.29459094334655
1.2323308270676692,-181.29728156542774,-181.29425733723872
1.2355889724310778,-181.2970714690672,-181.2939237311309
1.2388471177944862,-181.29683110993423,-181.29359012502306
1.2421052631578946,-181.2965610930438,-181.29325651891523
1.2453634085213032,-181.29626198907292,-181.2929229128074
1.2486215538847119,-181.29593433665602,-181.29258930669957
1.2518796992481203,-181.29557864467176,-181.29225570059174
1.2551378446115287,-181.295195394507,-181.2919220944839
1.2583959899749373,-181.29478504228607,-181.29158848837605
1.261654135338346,-181.2943480210535,-181.29125488226822
1.2649122807017543,-181.29388474289985,-181.2909212761604
1.268170426065163,-181.29339560102088,-181.29058767005256
1.2714285714285714,-181.29288097170163,-181.29025406394473
1.27468671679198,-181.29234121621778,-181.2899204578369
1.2779448621553884,-181.2917766826471,-181.28958685172907
1.281203007518797,-181.29118770758603,-181.28925324562124
1.2844611528822054,-181.2905746177657,-181.2889196395134
1.287719298245614,-181.28993773156392,-181.28858603340558
1.2909774436090224,-181.28927736040967,-181.28825242729775
1.294235588972431,-181.28859381007803,-181.28791882118992
1.2974937343358395,-181.2878873818737,-181.2875852150821
1.300751879699248,-181.28715837370274,-181.28709056550846
1.3040100250626567,-181.28640708103205,-181.2860591043822
1.3072681704260651,-181.28563379773774,-181.28502764325592
1.3105263157894735,-181.28483881684335,-181.28399618212964
1.3137844611528822,-181.28402243114988,-181.28296472100337
1.3170426065162908,-181.28318493376057,-181.2819332598771
1.3203007518796992,-181.28232661850282,-181.28090179875082
1.3235588972431076,-181.2814477802517,-181.27987033762454
1.3268170426065162,-181.2805487151582,-181.27883887649827
1.3300751879699249,-181.27962972078734,-181.277807415372
1.3333333333333333,-181.2786910961707,-181.27677595424572
1.3365914786967419,-181.27773314177887,-181.27574449311945
1.3398496240601503,-181.27675615941888,-181.27471303199317
1.343107769423559,-181.27576045206268,-181.2736815708669
1.3463659147869673,-181.2747463236128,-181.27265010974062
1.349624060150376,-181.27371407861096,-181.27161864861435
1.3528822055137844,-181.27266402189653,-181.27058718748808
1.356140350877193,-181.27159645822059,-181.2695557263618
1.3593984962406014,-181.2705116918228,-181.26852426523553
1.36265664160401,-181.26941002597727,-181.26749280410925
1.3659147869674184,-181.2682917625139,-181.26646134298298
1.369172932330827,-181.2671572013222,-181.2654298818567
1.3724310776942357,-181.2660066398433,-181.26439842073043
1.375689223057644,-181.26484037255756,-181.26336695960416
1.3789473684210525,-181.2636586904728,-181.26233549847788
1.382205513784461,-181.26246188062046,-181.2613040373516
1.3854636591478697,-181.26125022556468,-181.26027257622533
1.3887218045112781,-181.26002400293052,-181.25924111509906
1.3919799498746865,-181.25878348495667,-181.25820965397278
1.3952380952380952,-181.25752893807783,-181.2571781928465
1.3984962406015038,-181.2562606225417,-181.25614673172024
1.4017543859649122,-181.25497879206554,-181.25488657744097
1.4050125313283206,-181.25368369353598,-181.25343040045917
1.4082706766917292,-181.2523755667569,-181.25197422347733
1.4115288220551379,-181.25105464424848,-181.2505180464955
1.4147869674185463,-181.2497211511009,-181.2490618695137
1.4180451127819547,-181.24837530488583,-181.24760569253186
1.4213032581453633,-181.24701731562774,-181.24614951555003
1.424561403508772,-181.24564738583805,-181.2446933385682
1.4278195488721805,-181.24426571061304,-181.2432371615864
1.431077694235589,-181.24287247779722,-181.24178098460456
1.4343358395989974,-181.24146786821373,-181.24032480762273
1.437593984962406,-181.24005205596112,-181.23886863064092
1.4408521303258146,-181.23862520877776,-181.2374124536591
1.444110275689223,-181.2371874884732,-181.23595627667726
1.4473684210526314,-181.23573905142584,-181.23450009969542
1.45062656641604,-181.23428004914584,-181.23304392271362
1.4538847117794487,-181.23281062890206,-181.2315877457318
1.457142857142857,-181.23133093441092,-181.23013156874995
1.4604010025062655,-181.2298411065853,-181.22867539176815
1.463659147869674,-181.2283412843406,-181.22721921478632
1.4669172932330827,-181.2268316054552,-181.22576303780448
1.4701754385964911,-181.22531220748243,-181.22430686082265
1.4734335839598995,-181.22378322870944,-181.22285068384085
1.4766917293233082,-181.22224480916037,-181.221394506859
1.4799498746867168,-181.2206970916386,-181.21993832987718
1.4832080200501252,-181.2191402228043,-181.21848215289538
1.4864661654135336,-181.21757435428168,-181.21702597591354
1.4897243107769422,-181.21599964379223,-181.2155697989317
1.4929824561403509,-181.21441625630737,-181.21411362194988
1.4962406015037595,-181.21282436521608,-181.21265744496807
1.4994987468671679,-181.2112241535014,-181.21120126798624
1.5027568922305763,-181.20961581492023,-181.2095588427386
1.506015037593985,-181.20799955518058,-181.20788255416988
1.5092731829573935,-181.20637559310995,-181.2062062656012
1.512531328320802,-181.20474416180932,-181.20452997703248
1.5157894736842104,-181.2031055097858,-181.20285368846376
1.519047619047619,-181.20145990205842,-181.20117739989507
1.5223057644110276,-181.1998076212306,-181.19950111132636
1.525563909774436,-181.19814896852284,-181.19782482275767
1.5288220551378444,-181.19648426475976,-181.19614853418895
1.532080200501253,-181.19481385130527,-181.19447224562026
1.5353383458646617,-181.1931380909398,-181.19279595705154
1.53859649122807,-181.1914573686736,-181.19111966848283
1.5418546365914785,-181.1897720924905,-181.18944337991414
1.545112781954887,-181.18808269401626,-181.18776709134542
1.5483709273182957,-181.1863896291063,-181.18609080277673
1.5516290726817041,-181.18469337834722,-181.18441451420802
1.5548872180451125,-181.18299444746776,-181.18273822563933
1.5581453634085212,-181.18129336765355,-181.1810619370706
1.5614035087719298,-181.17959069576185,-181.17938564850192
1.5646616541353384,-181.17788701443203,-181.1777093599332
1.5679197994987468,-181.1761829320876,-181.1760330713645
1.5711779448621552,-181.17447908282676,-181.1743567827958
1.5744360902255639,-181.17277612619782,-181.17268049422708
1.5776942355889725,-181.17107474685736,-181.1710042056584
1.5809523809523809,-181.1693756541081,-181.16932791708967
1.5842105263157893,-181.1676795813152,-181.16765162852099
1.587468671679198,-181.1659872851991,-181.16597533995227
1.5907268170426065,-181.16429954500373,-181.16429905138355
1.593984962406015,-181.16261716154025,-181.16262276281486
1.5972431077694234,-181.1609409561053,-181.16094647424615
1.600501253132832,-181.15927176927474,-181.15931164455625
1.6037593984962406,-181.15761045957373,-181.15790483869975
1.607017543859649,-181.1559579020241,-181.15649803284325
1.6102756892230574,-181.15431498657182,-181.15509122698677
1.613533834586466,-181.1526826163958,-181.15368442113027
1.6167919799498747,-181.15106170610207,-181.15227761527376
1.620050125313283,-181.14945317980636,-181.15087080941728
1.6233082706766915,-181.1478579691089,-181.14946400356078
1.6265664160401,-181.1462770109663,-181.14805719770428
1.6298245614035087,-181.1447112454655,-181.1466503918478
1.6330827067669174,-181.14316161350533,-181.1452435859913
1.6363408521303258,-181.1416290543917,-181.1438367801348
1.6395989974937342,-181.14011450335317,-181.14242997427831
1.6428571428571428,-181.1386188889839,-181.1410231684218
1.6461152882205514,-181.13714313062147,-181.1396163625653
1.6493734335839598,-181.135688135668,-181.1382095567088
1.6526315789473682,-181.1342547968624,-181.13680275085233
1.6558897243107769,-181.13284398951342,-181.13539594499582
1.6591478696741855,-181.1314565687023,-181.13398913913932
1.6624060150375939,-181.13009336646516,-181.13258233328284
1.6656641604010023,-181.12875518896487,-181.13117552742634
1.668922305764411,-181.1274428136634,-181.12976872156983
1.6721804511278195,-181.12615698650487,-181.12836191571336
1.675438596491228,-181.12489841912083,-181.12695510985685
1.6786967418546364,-181.12366778606895,-181.12554830400035
1.681954887218045,-181.1224657221169,-181.12414149814387
1.6852130325814536,-181.12129281958272,-181.12273469228737
1.688471177944862,-181.12014962574438,-181.12132788643086
1.6917293233082704,-181.1190366403299,-181.1199210805744
1.694987468671679,-181.11795431310097,-181.11851427471788
1.6982456140350877,-181.11690304154124,-181.11710746886138
1.7015037593984963,-181.1158831686627,-181.11608881392013
1.7047619047619047,-181.1148949809414,-181.11552300171334
1.708020050125313,-181.11393870639517,-181.11495718950655
1.7112781954887217,-181.1130145128152,-181.11439137729977
1.7145363408521304,-181.11212250616276,-181.11382556509298
1.7177944862155388,-181.11126272914373,-181.1132597528862
1.7210526315789472,-181.11043515997116,-181.1126939406794
1.7243107769423558,-181.1096397113274,-181.11212812847265
1.7275689223057644,-181.1088762295363,-181.11156231626586
1.7308270676691728,-181.10814449395562,-181.11099650405907
1.7340852130325812,-181.10744421659933,-181.1104306918523
1.7373433583959899,-181.10677504199893,-181.1098648796455
1.7406015037593985,-181.1061365473123,-181.1092990674387
1.7438596491228069,-181.1055282426883,-181.10873325523193
1.7471177944862153,-181.1049495718937,-181.10816744302514
1.750375939849624,-181.10439991320968,-181.10760163081835
1.7536340852130325,-181.10387858060264,-181.10703581861156
