r_no,polynomial,linear
0.9,-180.85994441760133,-180.8599444176011
0.9035087719298246,-180.87373556601207,-180.8697669434304
0.9070175438596492,-180.88718076835463,-180.87958946925966
0.9105263157894737,-180.90028785169497,-180.88941199508895
0.9140350877192983,-180.91306437618363,-180.8992345209182
0.9175438596491228,-180.92551764966706,-180.9090570467475
0.9210526315789473,-180.9376547413879,-180.91887957257677
0.9245614035087719,-180.94948249482746,-180.92870209840606
0.9280701754385965,-180.961007539742,-180.93852462423533
0.9315789473684211,-180.97223630344104,-180.94834715006462
0.9350877192982456,-180.98317502135347,-180.95816967589388
0.9385964912280702,-180.9938297469254,-180.96799220172318
0.9421052631578948,-181.0042063608908,-180.97781472755247
0.9456140350877194,-181.01431057995381,-180.98763725338173
0.9491228070175439,-181.0241479649202,-180.99745977921103
0.9526315789473685,-181.03372392831213,-181.0072823050403
0.956140350877193,-181.04304374150018,-181.01710483086958
0.9596491228070175,-181.05211254138302,-181.02692735669885
0.9631578947368421,-181.06093533664443,-181.03674988252814
0.9666666666666667,-181.06951701361552,-181.0465724083574
0.9701754385964912,-181.07786234176822,-181.0563949341867
0.9736842105263158,-181.08597597886438,-181.06621746001596
0.9771929824561404,-181.09386247578414,-181.07603998584526
0.980701754385965,-181.10152628105467,-181.08586251167455
0.9842105263157894,-181.1089717451005,-181.0956850375038
0.987719298245614,-181.11620312423375,-181.1055075633331
0.9912280701754386,-181.12322458440315,-181.11533008916237
0.9947368421052631,-181.1300402047177,-181.12515261499166
0.9982456140350877,-181.13665398076176,-181.13497514082093
1.0017543859649123,-181.14306982771552,-181.1419268681422
1.0052631578947369,-181.149291583295,-181.14600779695544
1.0087719298245614,-181.1553230105242,-181.15008872576868
1.012280701754386,-181.16116780035188,-181.15416965458192
1.0157894736842106,-181.16682957412323,-181.15825058339516
1.0192982456140351,-181.17231188591765,-181.1623315122084
1.0228070175438597,-181.17761822476197,-181.16641244102166
1.0263157894736843,-181.1827520167277,-181.1704933698349
1.0298245614035089,-181.18771662692123,-181.17457429864814
1.0333333333333334,-181.19251536137403,-181.17865522746138
1.0368421052631578,-181.19715146884047,-181.18273615627461
1.0403508771929824,-181.20162814250926,-181.18681708508785
1.043859649122807,-181.20594852163504,-181.1908980139011
1.0473684210526315,-181.21011569309516,-181.19497894271436
1.050877192982456,-181.21413269287723,-181.1990598715276
1.0543859649122806,-181.21800250750175,-181.20314080034083
1.0578947368421052,-181.22172807538416,-181.20722172915407
1.0614035087719298,-181.2253122881404,-181.2113026579673
1.0649122807017544,-181.22875799183925,-181.21538358678055
1.068421052631579,-181.23206798820502,-181.2194645155938
1.0719298245614035,-181.23524503577312,-181.22354544440705
1.075438596491228,-181.23829185100183,-181.2276263732203
1.0789473684210527,-181.24121110934175,-181.23170730203353
1.0824561403508772,-181.24400544626621,-181.23578823084677
1.0859649122807018,-181.24667745826366,-181.23986915966
1.0894736842105264,-181.2492297037945,-181.24395008847327
1.092982456140351,-181.25166470421345,-181.2480310172865
1.0964912280701755,-181.25398494465924,-181.25211194609975
1.1,-181.25619287491278,-181.25619287491298
1.1035087719298247,-181.2582909102249,-181.2570752507135
1.1070175438596492,-181.26028143211462,-181.25795762651407
1.1105263157894738,-181.2621667891393,-181.2588400023146
1.1140350877192982,-181.2639492976366,-181.25972237811513
1.1175438596491227,-181.2656312424402,-181.26060475391566
1.1210526315789473,-181.26721487756865,-181.26148712971622
1.1245614035087719,-181.2687024268888,-181.26236950551674
