r_nn,r_no,polynomial
0.9,0.95,-180.65012203023073
0.9,0.9537688442211055,-180.65911413055062
0.9,0.957537688442211,-180.6678947999069
0.9,0.9613065326633166,-180.67646691399256
0.9,0.965075376884422,-180.68483333088486
0.9,0.9688442211055276,-180.69299689104545
0.9,0.9726130653266332,-180.70096041732032
0.9,0.9763819095477386,-180.70872671494
0.9,0.9801507537688442,-180.71629857151913
0.9,0.9839195979899497,-180.72367875705692
0.9,0.9876884422110552,-180.73087002393694
0.9,0.9914572864321607,-180.73787510692696
0.9,0.9952261306532663,-180.74469672317923
0.9,0.9989949748743718,-180.75133757223054
0.9,1.0027638190954773,-180.75780033600174
0.9,1.0065326633165828,-180.76408767879832
0.9,1.0103015075376884,-180.77020224730992
0.9,1.014070351758794,-180.77614667061064
0.9,1.0178391959798994,-180.781923560159
0.9,1.0216080402010048,-180.78753550979795
0.9,1.0253768844221105,-180.79298509575457
0.9,1.029145728643216,-180.79827487664062
0.9,1.0329145728643214,-180.80340739345186
0.9,1.036683417085427,-180.80838516956885
0.9,1.0404522613065326,-180.8132107107562
0.9,1.044221105527638,-180.81788650516296
0.9,1.0479899497487437,-180.8224150233226
0.9,1.0517587939698492,-180.82679871815304
0.9,1.0555276381909546,-180.83104002495634
0.9,1.05929648241206,-180.83514136141915
0.9,1.0630653266331658,-180.83910512761247
0.9,1.0668341708542712,-180.84293370599144
0.9,1.0706030150753767,-180.8466294613959
0.9,1.0743718592964824,-180.85019474104976
0.9,1.0781407035175878,-180.85363187456164
0.9,1.0819095477386933,-180.8569431739242
0.9,1.085678391959799,-180.86013093351463
0.9,1.0894472361809044,-180.86319743009443
0.9,1.09321608040201,-180.86614492280958
0.9,1.0969849246231154,-180.86897565319035
0.9,1.100753768844221,-180.87169184515133
0.9,1.1045226130653265,-180.87429570499157
0.9,1.108291457286432,-180.87678942139453
0.9,1.1120603015075377,-180.87917516542797
0.9,1.1158291457286431,-180.88145509054394
0.9,1.1195979899497486,-180.883631332579
0.9,1.123366834170854,-180.88570600975405
0.9,1.1271356783919597,-180.88768122267433
0.9,1.1309045226130652,-180.8895590543294
0.9,1.1346733668341706,-180.89134157009332
0.9,1.1384422110552763,-180.89303081772442
0.9,1.1422110552763818,-180.8946288273655
0.9,1.1459798994974872,-180.89613761154357
0.9,1.1497487437185927,-180.89755916517015
0.9,1.1535175879396984,-180.8988954655411
0.9,1.1572864321608038,-180.90014847233667
0.9,1.1610552763819093,-180.9013201276214
0.9,1.164824120603015,-180.90241235584426
0.9,1.1685929648241205,-180.90342706383865
0.9,1.172361809045226,-180.90436614082213
0.9,1.1761306532663314,-180.90523145839697
0.9,1.179899497487437,-180.90602487054954
0.9,1.1836683417085425,-180.90674821365056
0.9,1.187437185929648,-180.90740330645528
0.9,1.1912060301507537,-180.90799195010328
0.9,1.1949748743718591,-180.9085159281185
0.9,1.1987437185929646,-180.90897700640926
0.9,1.20251256281407,-180.90937693326822
0.9,1.2062814070351757,-180.90971743937234
0.9,1.2100502512562812,-180.91000023778327
0.9,1.2138190954773866,-180.9102270239465
0.9,1.2175879396984923,-180.91039947569237
0.9,1.2213567839195978,-180.91051925323546
0.9,1.2251256281407032,-180.9105879991745
0.9,1.2288944723618087,-180.91060733849287
0.9,1.2326633165829144,-180.91057887855817
0.9,1.2364321608040199,-180.91050420912254
0.9,1.2402010050251255,-180.91038490232214
0.9,1.243969849246231,-180.91022251267796
0.9,1.2477386934673365,-180.91001857709497
0.9,1.251507537688442,-180.9097746148627
0.9,1.2552763819095474,-180.90949212765517
0.9,1.259045226130653,-180.90917259953045
0.9,1.2628140703517585,-180.9088174969312
0.9,1.2665829145728642,-180.90842826868442
0.9,1.2703517587939697,-180.9080063460015
0.9,1.2741206030150751,-180.9075531424781
0.9,1.2778894472361806,-180.9070700540943
0.9,1.281658291457286,-180.90655845921472
0.9,1.2854271356783917,-180.90601971858808
0.9,1.2891959798994972,-180.90545517534756
0.9,1.2929648241206029,-180.90486615501086
0.9,1.2967336683417083,-180.9042539654799
0.9,1.3005025125628138,-180.90361989704098
0.9,1.3042713567839193,-180.9029652223648
0.9,1.308040201005025,-180.90229119650638
0.9,1.3118090452261304,-180.9015990569053
0.9,1.3155778894472359,-180.90089002338522
0.9,1.3193467336683415,-180.9001652981544
0.9,1.323115577889447,-180.89942606580541
0.9,1.3268844221105525,-180.89867349331513
0.9,1.330653266331658,-180.89790873004492
0.9,1.3344221105527636,-180.8971329077404
0.9,1.338190954773869,-180.8963471405316
0.9,1.3419597989949745,-180.8955525249329
0.9,1.3457286432160802,-180.8947501398432
0.9,1.3494974874371857,-180.89394104654554
0.9,1.3532663316582911,-180.89312628870752
0.9,1.3570351758793966,-180.89230689238096
0.9,1.3608040201005023,-180.89148386600218
0.9,1.3645728643216077,-180.89065820039178
0.9,1.3683417085427132,-180.88983086875484
0.9,1.3721105527638189,-180.88900282668064
0.9,1.3758793969849243,-180.888175012143
0.9,1.3796482412060298,-180.88734834550007
0.9,1.3834170854271353,-180.88652372949423
0.9,1.387185929648241,-180.88570204925247
0.9,1.3909547738693464,-180.88488417228598
0.9,1.3947236180904519,-180.88407094849035
0.9,1.3984924623115575,-180.88326321014554
0.9,1.402261306532663,-180.88246177191596
0.9,1.4060301507537685,-180.88166743085029
0.9,1.409798994974874,-180.88088096638162
0.9,1.4135678391959796,-180.88010314032746
0.9,1.417336683417085,-180.87933469688954
0.9,1.4211055276381908,-180.8785763626542
0.9,1.4248743718592962,-180.87782884659194
0.9,1.4286432160804017,-180.87709284005774
0.9,1.4324120603015071,-180.87636901679093
0.9,1.4361809045226126,-180.8756580329151
0.9,1.4399497487437183,-180.87496052693842
0.9,1.4437185929648237,-180.8742771197533
0.9,1.4474874371859294,-180.87360841463652
0.9,1.4512562814070349,-180.87295499724928
0.9,1.4550251256281403,-180.87231743563706
0.9,1.4587939698492458,-180.8716962802299
0.9,1.4625628140703513,-180.87109206384204
0.9,1.466331658291457,-180.87050530167213
0.9,1.4701005025125624,-180.8699364913031
0.9,1.473869346733668,-180.86938611270253
0.9,1.4776381909547736,-180.86885462822207
0.9,1.481407035175879,-180.868342482598
0.9,1.4851758793969845,-180.86785010295068
0.9,1.48894472361809,-180.86737789878512
0.9,1.4927135678391956,-180.86692626199041
0.9,1.496482412060301,-180.86649556684034
0.9,1.5002512562814068,-180.86608616999297
0.9,1.5040201005025122,-180.86569841049044
0.9,1.5077889447236177,-180.8653326097597
0.9,1.5115577889447231,-180.86498907161172
0.9,1.5153266331658286,-180.86466808224216
0.9,1.5190954773869343,-180.86436991023075
0.9,1.5228643216080398,-180.86409480654171
0.9,1.5266331658291454,-180.86384300452366
0.9,1.530402010050251,-180.8636147199096
0.9,1.5341708542713564,-180.86341015081686
0.9,1.5379396984924618,-180.86322947774715
0.9,1.5417085427135673,-180.86307286358655
0.9,1.545477386934673,-180.86294045360555
0.9,1.5492462311557786,-180.8628323754589
0.9,1.553015075376884,-180.8627487391859
0.9,1.5567839195979896,-180.86268963721002
0.9,1.560552763819095,-180.86265514433933
0.9,1.5643216080402005,-180.86264531776604
0.9,1.568090452261306,-180.86266019706682
0.9,1.5718592964824116,-180.86269980420275
0.9,1.5756281407035173,-180.86276414351929
0.9,1.5793969849246228,-180.86285320174622
0.9,1.5831658291457282,-180.8629669479977
0.9,1.5869346733668337,-180.8631053337723
0.9,1.5907035175879392,-180.86326829295288
0.9,1.5944723618090448,-180.86345574180672
0.9,1.5982412060301503,-180.86366757898554
0.9,1.602010050251256,-180.86390368552532
0.9,1.6057788944723614,-180.86416392484642
0.9,1.609547738693467,-180.8644481427537
0.9,1.6133165829145724,-180.8647561674362
0.9,1.6170854271356778,-180.86508780946755
0.9,1.6208542713567835,-180.86544286180555
0.9,1.624623115577889,-180.86582109979238
0.9,1.6283919597989946,-180.8662222811548
0.9,1.6321608040201,-180.86664614600375
0.9,1.6359296482412056,-180.86709241683454
0.9,1.639698492462311,-180.86756079852702
0.9,1.6434673366834165,-180.8680509783452
0.9,1.6472361809045222,-180.86856262593764
0.9,1.6510050251256276,-180.86909539333706
0.9,1.6547738693467333,-180.86964891496086
0.9,1.6585427135678388,-180.87022280761047
0.9,1.6623115577889442,-180.870816670472
0.9,1.6660804020100497,-180.87143008511566
0.9,1.6698492462311552,-180.87206261549625
0.9,1.6736180904522608,-180.87271380795275
0.9,1.6773869346733663,-180.87338319120866
0.9,1.681155778894472,-180.87407027637184
0.9,1.6849246231155774,-180.87477455693445
0.9,1.688693467336683,-180.87549550877304
0.9,1.6924623115577884,-180.87623259014856
0.9,1.6962311557788938,-180.87698524170634
0.9,1.6999999999999995,-180.87775288647597
0.90678391959799,0.95,-180.66974486901017
0.90678391959799,0.9537688442211055,-180.6787451966046
0.90678391959799,0.957537688442211,-180.6875338413139
0.90678391959799,0.9613065326633166,-180.69611367926913
0.90678391959799,0.965075376884422,-180.70448756898608
0.90678391959799,0.9688442211055276,-180.71265835136478
0.90678391959799,0.9726130653266332,-180.7206288496895
0.90678391959799,0.9763819095477386,-180.72840186962904
0.90678391959799,0.9801507537688442,-180.73598019923645
0.90678391959799,0.9839195979899497,-180.74336660894937
0.90678391959799,0.9876884422110552,-180.7505638515896
0.90678391959799,0.9914572864321607,-180.75757466236328
0.90678391959799,0.9952261306532663,-180.76440175886106
0.90678391959799,0.9989949748743718,-180.77104784105813
0.90678391959799,1.0027638190954773,-180.77751559131346
0.90678391959799,1.0065326633165828,-180.78380767437108
0.90678391959799,1.0103015075376884,-180.78992673735897
0.90678391959799,1.014070351758794,-180.79587540978952
0.90678391959799,1.0178391959798994,-180.80165630355955
0.90678391959799,1.0216080402010048,-180.8072720129505
