r_nn,r_no,energy,held_out,holdout_polynomial_mha,holdout_linear_mha
0.9,0.95,-180.64341975674037,False,nan,nan
0.9,1.0999999999999999,-180.8624002565303,True,-2984.9442161195157,93.47266466733117
0.9,1.2499999999999998,-180.89443542698552,False,nan,nan
0.9,1.3999999999999997,-180.87821203670134,True,2532.3917385640016,-1.696018808701183
0.9,1.5499999999999996,-180.86538068403453,False,nan,nan
0.9,1.6999999999999995,-180.86093027952793,True,-10362.769340494167,10.076966968910028
1.05,0.95,-180.97102368750404,True,25.105409016504154,131.75541204543606
1.05,1.0999999999999999,-181.1962281094493,True,-2959.4689027821346,231.02510405911403
1.05,1.2499999999999998,-181.21903619568164,True,18.170771284104603,127.89846035991559
1.05,1.3999999999999997,-181.18545618724488,True,2547.562476748624,126.55380212657974
1.05,1.5499999999999996,-181.15899601884456,True,29.049597643677316,132.32898392965353
1.05,1.6999999999999995,-181.14860356100846,True,-10298.278901338961,154.1718762969424
1.2000000000000002,0.95,-181.03511679417684,False,nan,nan
1.2000000000000002,1.0999999999999999,-181.26958885224514,True,-2977.241693697067,108.11043332776649
1.2000000000000002,1.2499999999999998,-181.2878400436579,False,nan,nan
1.2000000000000002,1.3999999999999997,-181.23382814669614,True,2516.532593972187,-4.068568030419328
1.2000000000000002,1.5499999999999996,-181.18795338579525,False,nan,nan
1.2000000000000002,1.6999999999999995,-181.16818443181063,True,-10302.59147002434,30.174374946682292
1.35,0.95,-180.99752899515562,True,-6.3668622203465475,16.25202984672569
1.35,1.0999999999999999,-181.2408994078704,True,-2980.802302261992,125.96596275886895
1.35,1.2499999999999998,-181.2652403212867,True,0.8427844405503038,16.65039637256882
1.35,1.3999999999999997,-181.19579143750394,True,2511.927888613741,11.921686092193795
1.35,1.5499999999999996,-181.12293936622766,True,-15.73494657228025,3.7897883183006797
1.35,1.6999999999999995,-181.08656588390534,True,-10307.532866368632,32.13647949834808
1.5,0.95,-180.92743713644094,False,nan,nan
1.5,1.0999999999999999,-181.17274711158663,True,-2982.196228813137,104.35864028093533
1.5,1.2499999999999998,-181.20933980617042,False,nan,nan
1.5,1.3999999999999997,-181.14551730829152,True,2534.405685979152,15.6745201945796
1.5,1.5499999999999996,-181.05034577002348,False,nan,nan
1.5,1.6999999999999995,-180.98916685030977,True,-10300.079168391732,18.318098359742407
1.6500000000000001,0.95,-180.8771044835941,True,-0.5598912004813883,-16.53259478422342
1.6500000000000001,1.0999999999999999,-181.10183999043082,True,-2993.024481159324,80.8716383677961
1.6500000000000001,1.2499999999999998,-181.1342697790868,True,-1.0197903453388335,-14.02984666091811
1.6500000000000001,1.3999999999999997,-181.08785425686193,True,2541.6243613061624,14.454909708973673
1.6500000000000001,1.5499999999999996,-181.0019621660847,True,20.292133725774875,3.463097526491765
1.6500000000000001,1.6999999999999995,-180.93498408786758,True,-10267.304829534709,11.385297904126901
1.8000000000000003,0.95,-180.85983702031572,False,nan,nan
1.8000000000000003,1.0999999999999999,-181.07661840727084,True,-2986.831930526222,103.07017445049382
1.8000000000000003,1.2499999999999998,-181.08725944532497,False,nan,nan
1.8000000000000003,1.3999999999999997,-181.02153777979294,True,2511.4530893594065,4.581873583987317
1.8000000000000003,1.5499999999999996,-180.94665236709292,False,nan,nan
1.8000000000000003,1.6999999999999995,-180.89792856307673,True,-10255.046292832247,21.579735099862773
1.9500000000000002,0.95,-180.85282238347685,True,-0.05417214546810101,-1.9664434666992747
1.9500000000000002,1.0999999999999999,-181.0701013444385,True,-2986.2610279233763,102.01028613562357
1.9500000000000002,1.2499999999999998,-181.07770774785362,True,-12.535200937151103,-3.685541808607695
1.9500000000000002,1.3999999999999997,-181.00283169307383,True,2505.6131650673306,-0.49151308260775295
1.9500000000000002,1.5499999999999996,-180.90651535022607,True,-20.168358043122225,-18.737772424515242
1.9500000000000002,1.6999999999999995,-180.84684800567615,True,-10287.879437325899,-0.33503346861607497
2.1,0.95,-180.84974063357137,False,nan,nan
2.1,1.0999999999999999,-181.06687407665825,True,-2976.064131215395,104.24019287282249
2.1,1.2499999999999998,-181.07552713399951,False,nan,nan
2.1,1.3999999999999997,-181.0016422703853,True,2525.7921418020433,11.951764281405985
2.1,1.5499999999999996,-180.90385387820828,False,nan,nan
2.1,1.6999999999999995,-180.83942265393534,True,-10275.223832774287,21.405403622708263
2.25,0.95,-180.8482232079054,True,54.218895202780004,3.5307677061950926
2.25,1.0999999999999999,-181.06537637416352,True,-2900.8153020057534,108.19966489552257
2.25,1.2499999999999998,-181.07485106424983,True,90.07277472790065,5.190085913028497
2.25,1.3999999999999997,-181.00232846982058,True,2614.45405810025,26.27066376922471
2.25,1.5499999999999996,-180.90600220975654,True,85.71755286942562,23.547575990619407
2.25,1.6999999999999995,-180.83990723619428,True,-10193.600758113405,51.05577471377387
