r_no,spline,linear
0.9,-180.8599444176011,-180.8599444176011
0.9035087719298246,-180.87340644450438,-180.8697669434304
0.9070175438596492,-180.88657385839844,-180.87958946925966
0.9105263157894737,-180.89945004668198,-180.88941199508895
0.9140350877192983,-180.91203839675376,-180.8992345209182
0.9175438596491228,-180.92434229601247,-180.9090570467475
0.9210526315789473,-180.9363651318568,-180.91887957257677
0.9245614035087719,-180.94811029168548,-180.92870209840606
0.9280701754385965,-180.9595811628973,-180.93852462423533
0.9315789473684211,-180.97078113289092,-180.94834715006462
0.9350877192982456,-180.9817135890651,-180.95816967589388
0.9385964912280702,-180.9923819188185,-180.96799220172318
0.9421052631578948,-181.00278950954984,-180.97781472755247
0.9456140350877194,-181.0129397486579,-180.98763725338173
0.9491228070175439,-181.0228360235414,-180.99745977921103
0.9526315789473685,-181.03248172159903,-181.0072823050403
0.956140350877193,-181.0418802302295,-181.01710483086958
0.9596491228070175,-181.05103493683157,-181.02692735669885
0.9631578947368421,-181.05994922880393,-181.03674988252814
0.9666666666666667,-181.06862649354528,-181.0465724083574
0.9701754385964912,-181.07707011845434,-181.0563949341867
0.9736842105263158,-181.0852834909299,-181.06621746001596
0.9771929824561404,-181.09326999837063,-181.07603998584526
0.980701754385965,-181.10103302817524,-181.08586251167455
0.9842105263157894,-181.1085759677425,-181.0956850375038
0.987719298245614,-181.11590220447104,-181.1055075633331
0.9912280701754386,-181.12301512575968,-181.11533008916237
0.9947368421052631,-181.12991811900707,-181.12515261499166
0.9982456140350877,-181.13661457161197,-181.13497514082093
1.0017543859649123,-181.1431078709731,-181.1419268681422
1.0052631578947369,-181.14940140448914,-181.14600779695544
1.0087719298245614,-181.15549855955885,-181.15008872576868
1.012280701754386,-181.16140272358095,-181.15416965458192
1.0157894736842106,-181.1671172839541,-181.15825058339516
1.0192982456140351,-181.17264562807713,-181.1623315122084
1.0228070175438597,-181.17799114334872,-181.16641244102166
1.0263157894736843,-181.1831572171675,-181.1704933698349
1.0298245614035089,-181.1881472369323,-181.17457429864814
1.0333333333333334,-181.19296459004178,-181.17865522746138
1.0368421052631578,-181.19761266389466,-181.18273615627461
1.0403508771929824,-181.20209484588975,-181.18681708508785
1.043859649122807,-181.20641452342565,-181.1908980139011
1.0473684210526315,-181.21057508390112,-181.19497894271436
1.050877192982456,-181.2145799147149,-181.1990598715276
1.0543859649122806,-181.21843240326572,-181.20314080034083
1.0578947368421052,-181.2221359369523,-181.20722172915407
1.0614035087719298,-181.2256939031733,-181.2113026579673
1.0649122807017544,-181.2291096893275,-181.21538358678055
1.068421052631579,-181.23238668281363,-181.2194645155938
1.0719298245614035,-181.23552827103032,-181.22354544440705
1.075438596491228,-181.2385378413764,-181.2276263732203
1.0789473684210527,-181.24141878125053,-181.23170730203353
1.0824561403508772,-181.24417447805146,-181.23578823084677
1.0859649122807018,-181.24680831917786,-181.23986915966
1.0894736842105264,-181.24932369202853,-181.24395008847327
1.092982456140351,-181.25172398400213,-181.2480310172865
1.0964912280701755,-181.25401258249732,-181.25211194609975
1.1,-181.25619287491298,-181.25619287491298
1.1035087719298247,-181.25826799211265,-181.2570752507135
1.1070175438596492,-181.2602400388198,-181.25795762651407
1.1105263157894738,-181.26211086322263,-181.2588400023146
1.1140350877192982,-181.26388231350958,-181.25972237811513
1.1175438596491227,-181.2655562378689,-181.26060475391566
1.1210526315789473,-181.26713448448902,-181.26148712971622
1.1245614035087719,-181.26861890155817,-181.26236950551674
1.1280701754385964,-181.2700113372647,-181.26325188131727
1.131578947368421,-181.2713136397969,-181.26413425711783
1.1350877192982456,-181.2725276573432,-181.26501663291836
1.1385964912280702,-181.2736552380918,-181.2658990087189
1.1421052631578947,-181.2746982302311,-181.26678138451942
1.1456140350877193,-181.27565848194942,-181.26766376031998
1.1491228070175439,-181.27653784143513,-181.2685461361205
1.1526315789473685,-181.2773381568764,-181.26942851192103
1.156140350877193,-181.27806127646173,-181.27031088772156
1.1596491228070176,-181.2787090483793,-181.27119326352212
1.1631578947368422,-181.2792833208176,-181.27207563932265
1.1666666666666667,-181.2797859419648,-181.27295801512318
1.170175438596491,-181.28021876000932,-181.27384039092374
1.1736842105263157,-181.2805836231394,-181.27472276672427
1.1771929824561402,-181.2808823795435,-181.2756051425248
1.1807017543859648,-181.2811168774098,-181.27648751832533
1.1842105263157894,-181.2812889649267,-181.27736989412588
1.187719298245614,-181.2814004902825,-181.2782522699264
1.1912280701754385,-181.2814533016656,-181.27913464572694
1.194736842105263,-181.2814492472642,-181.2800170215275
1.1982456140350877,-181.28139017526672,-181.28089939732803
1.2017543859649122,-181.28127792456198,-181.28100706343184
1.2052631578947368,-181.28111412015105,-181.28034001983892
1.2087719298245614,-181.28090017314713,-181.27967297624602
1.212280701754386,-181.28063748536405,-181.2790059326531
1.2157894736842105,-181.28032745861552,-181.2783388890602
1.219298245614035,-181.27997149471537,-181.27767184546727
1.2228070175438597,-181.2795709954773,-181.27700480187437
1.2263157894736842,-181.27912736271514,-181.27633775828144
1.2298245614035088,-181.27864199824265,-181.27567071468854
