r_nn,r_no,spline
0.9,0.95,-180.64341975674046
0.9,0.9537688442211055,-180.6524914919764
0.9,0.957537688442211,-180.66134748684263
0.9,0.9613065326633166,-180.66999025995528
0.9,0.965075376884422,-180.67842232993064
0.9,0.9688442211055276,-180.6866462153848
0.9,0.9726130653266332,-180.69466443493394
0.9,0.9763819095477386,-180.70247950719443
0.9,0.9801507537688442,-180.71009395078238
0.9,0.9839195979899497,-180.71751028431396
0.9,0.9876884422110552,-180.72473102640546
0.9,0.9914572864321607,-180.73175869567305
0.9,0.9952261306532663,-180.73859581073285
0.9,0.9989949748743718,-180.7452448902012
0.9,1.0027638190954773,-180.7517084526943
0.9,1.0065326633165828,-180.75798901682822
0.9,1.0103015075376884,-180.76408910121924
0.9,1.014070351758794,-180.77001122448362
0.9,1.0178391959798994,-180.77575790523753
0.9,1.0216080402010048,-180.78133166209716
0.9,1.0253768844221105,-180.78673501367876
0.9,1.029145728643216,-180.79197047859844
0.9,1.0329145728643214,-180.7970405754725
0.9,1.036683417085427,-180.8019478229171
0.9,1.0404522613065326,-180.80669473954842
0.9,1.044221105527638,-180.81128384398272
0.9,1.0479899497487437,-180.8157176548362
0.9,1.0517587939698492,-180.81999869072504
0.9,1.0555276381909546,-180.8241294702655
0.9,1.05929648241206,-180.82811251207366
0.9,1.0630653266331658,-180.83195033476585
0.9,1.0668341708542712,-180.83564545695825
0.9,1.0706030150753767,-180.839200397267
0.9,1.0743718592964824,-180.84261767430843
0.9,1.0781407035175878,-180.84589980669858
0.9,1.0819095477386933,-180.84904931305383
0.9,1.085678391959799,-180.85206871199026
0.9,1.0894472361809044,-180.85496052212412
0.9,1.09321608040201,-180.85772726207162
0.9,1.0969849246231154,-180.86037145044892
0.9,1.100753768844221,-180.86289560587232
0.9,1.1045226130653265,-180.8653022469579
0.9,1.108291457286432,-180.86759389232196
0.9,1.1120603015075377,-180.8697730605807
0.9,1.1158291457286431,-180.87184227035033
0.9,1.1195979899497486,-180.873804040247
0.9,1.123366834170854,-180.87566088888693
0.9,1.1271356783919597,-180.87741533488636
0.9,1.1309045226130652,-180.8790698968615
0.9,1.1346733668341706,-180.8806270934285
0.9,1.1384422110552763,-180.88208944320357
0.9,1.1422110552763818,-180.883459464803
0.9,1.1459798994974872,-180.88473967684288
0.9,1.1497487437185927,-180.88593259793953
0.9,1.1535175879396984,-180.8870407467091
0.9,1.1572864321608038,-180.88806664176778
0.9,1.1610552763819093,-180.8890128017318
0.9,1.164824120603015,-180.88988174521737
0.9,1.1685929648241205,-180.89067599084063
0.9,1.172361809045226,-180.89139805721788
0.9,1.1761306532663314,-180.89205046296522
0.9,1.179899497487437,-180.89263572669898
0.9,1.1836683417085425,-180.89315636703532
0.9,1.187437185929648,-180.89361490259037
0.9,1.1912060301507537,-180.89401385198045
0.9,1.1949748743718591,-180.8943557338217
0.9,1.1987437185929646,-180.89464306673034
0.9,1.20251256281407,-180.89487836932256
0.9,1.2062814070351757,-180.89506416021456
0.9,1.2100502512562812,-180.89520295802257
0.9,1.2138190954773866,-180.8952972813628
0.9,1.2175879396984923,-180.89534964885144
0.9,1.2213567839195978,-180.8953625791047
0.9,1.2251256281407032,-180.8953385907388
0.9,1.2288944723618087,-180.89528020236992
0.9,1.2326633165829144,-180.89518993261427
0.9,1.2364321608040199,-180.89507030008804
0.9,1.2402010050251255,-180.89492382340748
0.9,1.243969849246231,-180.8947530211888
0.9,1.2477386934673365,-180.8945604120481
0.9,1.251507537688442,-180.89434849419834
0.9,1.2552763819095474,-180.89411897267055
0.9,1.259045226130653,-180.89387252212452
0.9,1.2628140703517585,-180.89360974835876
0.9,1.2665829145728642,-180.89333125717172
0.9,1.2703517587939697,-180.89303765436188
0.9,1.2741206030150751,-180.89272954572772
0.9,1.2778894472361806,-180.89240753706764
0.9,1.281658291457286,-180.89207223418012
0.9,1.2854271356783917,-180.89172424286355
0.9,1.2891959798994972,-180.89136416891648
0.9,1.2929648241206029,-180.89099261813735
0.9,1.2967336683417083,-180.89061019632453
0.9,1.3005025125628138,-180.89021750927654
0.9,1.3042713567839193,-180.8898151627918
0.9,1.308040201005025,-180.88940376266888
0.9,1.3118090452261304,-180.88898391470605
0.9,1.3155778894472359,-180.88855622470194
0.9,1.3193467336683415,-180.88812129845482
0.9,1.323115577889447,-180.88767974176335
0.9,1.3268844221105525,-180.88723216042584
0.9,1.330653266331658,-180.88677916024076
0.9,1.3344221105527636,-180.88632134700669
0.9,1.338190954773869,-180.88585932652188
0.9,1.3419597989949745,-180.88539370458494
0.9,1.3457286432160802,-180.8849250869942
0.9,1.3494974874371857,-180.88445407954825
0.9,1.3532663316582911,-180.8839812880455
0.9,1.3570351758793966,-180.88350731828433
0.9,1.3608040201005023,-180.8830327760633
0.9,1.3645728643216077,-180.88255826718074
0.9,1.3683417085427132,-180.88208439743525
0.9,1.3721105527638189,-180.8816117726252
0.9,1.3758793969849243,-180.88114099854906
0.9,1.3796482412060298,-180.88067268100525
