bond,angle,hf,vqe,exact,n_qubits,n_params,n_evaluations
0.85,96.0,-55.29671692350644,-55.310171774812346,-55.31017414119307,8,54,279
0.975,96.0,-55.43463737466261,-55.453638177783134,-55.453643650941515,8,54,279
1.1,96.0,-55.44146412265594,-55.46896046188075,-55.46897721353562,8,54,387
1.225,96.0,-55.38083903170276,-55.420635058899556,-55.420684372956,8,54,332
1.35,96.0,-55.28664095622012,-55.34381162597107,-55.34393228148457,8,54,331
1.475,96.0,-55.17773630305116,-55.25706036284725,-55.25726607549963,8,54,331
1.6,96.0,-55.06451749069941,-55.17247693690521,-55.17278690903424,8,54,385
1.6,100.0,-55.06174409948615,-55.169065579673635,-55.16949026747796,8,54,385
1.475,100.0,-55.17527099536313,-55.25395945347903,-55.25423707525182,8,54,385
1.35,100.0,-55.285030508071124,-55.34061334373631,-55.340749120030864,8,54,332
1.225,100.0,-55.380877642651924,-55.41924871531975,-55.41929807701102,8,54,278
1.1,100.0,-55.44416876789544,-55.47059668838062,-55.47061177648583,8,54,389
0.975,100.0,-55.44110789418089,-55.459382400476635,-55.45938791504182,8,54,225
0.85,100.0,-55.307881310362205,-55.32097072814753,-55.32097276567718,8,54,281
0.85,104.0,-55.31617773122528,-55.3289509560701,-55.32895351055246,8,54,225
0.975,104.0,-55.44462723620964,-55.46230994287865,-55.46231609546507,8,54,281
1.1,104.0,-55.443737748551406,-55.469176709266755,-55.46919284501369,8,54,333
1.225,104.0,-55.37762865798997,-55.41459567432386,-55.414648866364956,8,54,388
1.35,104.0,-55.280124135032615,-55.33422958118072,-55.33438639448227,8,54,387
1.475,104.0,-55.169679040195994,-55.247605420120664,-55.24796499707477,8,54,385
1.6,104.0,-55.05615446860227,-55.16327142148758,-55.163876572474756,8,54,386
1.6,108.0,-55.04721232402004,-55.15346595954232,-55.15435063839712,8,54,385
1.475,108.0,-55.160482473402695,-55.2360819082554,-55.236559191404204,8,54,385
1.35,108.0,-55.2715891930358,-55.32395492324811,-55.324142308831085,8,54,332
1.225,108.0,-55.370966623401934,-55.4068618329137,-55.40691484808281,8,54,442
1.1,108.0,-55.44025368084977,-55.46462684258717,-55.464648881904886,8,54,389
0.975,108.0,-55.44544505247446,-55.46271434661204,-55.46272108625173,8,54,279
0.85,108.0,-55.322001986269285,-55.334571175856226,-55.33457563935076,8,54,280
0.85,112.0,-55.32572413018646,-55.33835655560498,-55.3383619490106,8,54,225
0.975,112.0,-55.443820026539115,-55.46083070235724,-55.46084059393298,8,54,225
1.1,112.0,-55.433814634185524,-55.45746283136773,-55.45749148953327,8,54,388
1.225,112.0,-55.36072847118205,-55.395098748271565,-55.39516377853328,8,54,389
1.35,112.0,-55.25893232557537,-55.30970655855775,-55.309912908198015,8,54,332
1.475,112.0,-55.146906036342514,-55.22136538580526,-55.22198469238592,8,54,386
1.6,112.0,-55.034008388512525,-55.13835493627696,-55.139715744634216,8,54,495
1.6,116.0,-55.0147807922092,-55.115255702197324,-55.11750081905202,8,54,496
1.475,116.0,-55.12760570611025,-55.19817249488142,-55.1989612075955,8,54,495
1.35,116.0,-55.24144787727047,-55.2887370421243,-55.289032415991635,8,54,443
1.225,116.0,-55.34675419361355,-55.37949420043229,-55.37959274191626,8,54,442
1.1,116.0,-55.42456970651751,-55.44792568672233,-55.44796071454604,8,54,389
0.975,116.0,-55.44003472446208,-55.45713221979361,-55.45715026453084,8,54,279
0.85,116.0,-55.32769417390006,-55.34060841594993,-55.340617824993394,8,54,225
0.85,120.0,-55.32824546216169,-55.34184611454504,-55.34186141440681,8,54,225
0.975,120.0,-55.43440916360579,-55.45214436578355,-55.45218262713833,8,54,279
1.1,120.0,-55.41277321058084,-55.43640616156872,-55.436480335907746,8,54,279
1.225,120.0,-55.32901933280318,-55.36066290644647,-55.360828414409106,8,54,388
1.35,120.0,-55.21832406071303,-55.260981263263034,-55.26143137085509,8,54,387
1.475,120.0,-55.100265829825226,-55.16000074440661,-55.1608609713999,8,54,386
1.6,120.0,-54.98553418443821,-55.069113731367835,-55.073649968372784,8,54,386
