bond,angle,hf,vqe,exact,n_qubits,n_params,n_evaluations
1.194,90.0,-201.19221657713217,-201.24941303183124,-201.24941303731603,6,20,519
1.194,95.0,-201.2023533079863,-201.26301436851776,-201.26301437270268,6,20,552
1.194,100.0,-201.16278829859067,-201.24802533866693,-201.2494288004553,6,20,1000
1.194,105.0,-201.19773648881556,-201.25359005746407,-201.2641197649251,6,20,1000
1.194,110.0,-201.2234190735488,-201.2523110594672,-201.28850710774321,6,20,440
1.194,115.0,-201.24184812598304,-201.26887051514578,-201.30599078161586,6,20,690
1.194,120.0,-201.25451244922257,-201.2800538422736,-201.31795373316666,6,20,318
1.194,125.0,-201.26252954819222,-201.2868699075753,-201.32544516823413,6,20,281
1.194,130.0,-201.26675516264478,-201.29133218885644,-201.3292741298836,6,20,1000
1.194,135.0,-201.2678632120104,-201.2943747091318,-201.33008190611284,6,20,1000
1.194,140.0,-201.2664062671259,-201.3014717525346,-201.32839906952705,6,20,1000
1.194,145.0,-201.26286459288414,-201.30172712954004,-201.32469347718046,6,20,1000
1.194,150.0,-201.25769042776562,-201.29979696395168,-201.3194148472333,6,20,1000
1.194,155.0,-201.25135327882205,-201.29661159095951,-201.31304041450343,6,20,1000
1.194,160.0,-201.24439066723065,-201.2929500298925,-201.30612382441598,6,20,1000
1.194,165.0,-201.23746380345378,-201.2894066459008,-201.2993418682201,6,20,1000
1.194,170.0,-201.23140041926865,-201.28656239783945,-201.29351242438216,6,20,1000
1.194,175.0,-201.2271626892407,-201.28488729680933,-201.28952027562636,6,20,1000
1.194,180.0,-201.2256258100647,-201.28442550544364,-201.28809403533586,6,20,1000
