bond,angle,hf,vqe,exact,n_qubits,n_params,n_evaluations
0.9,134.3,-200.27797120903318,-200.32204925140297,-200.3220493354722,8,37,879
1.0,134.3,-200.89368403384586,-200.94739342604947,-200.94739344459347,8,37,712
1.1,134.3,-201.17414669762718,-201.23666634790354,-201.2366664011481,8,37,694
1.2,134.3,-201.270208009486,-201.33920174797407,-201.33920190017204,8,37,1000
1.2999999999999998,134.3,-201.26680918788855,-201.35000736448734,-201.3690113701827,8,37,1000
1.4,134.3,-201.2121153521478,-201.3058450727791,-201.32487614407484,8,37,1000
1.5,134.3,-201.13518426235171,-201.22638366891528,-201.2423549212145,8,37,1000
1.5999999999999999,134.3,-201.06044858328514,-201.11986060718274,-201.13091370453478,8,37,1000
1.6999999999999997,134.3,-201.00319583005307,-201.03452997305197,-201.0378173066329,8,37,1000
1.7999999999999998,134.3,-200.9649375456226,-200.9741899076278,-200.97465996803442,8,37,1000
1.9,134.3,-200.94090945127672,-200.94293558931972,-200.94297432973116,8,37,1000
1.9999999999999996,134.3,-200.92634363764776,-200.92754451973414,-200.9275530868122,8,37,1000
2.0999999999999996,134.3,-200.9143523928351,-200.91475407695452,-200.91475540216422,8,37,1000
2.1999999999999997,134.3,-200.88222906176352,-200.88739148830354,-200.91771171448625,8,37,1000
2.3,134.3,-200.88845011039552,-200.8889979517007,-200.89038965187927,8,37,1000
2.3999999999999995,134.3,-200.88643672663798,-200.8874036227328,-200.88832166590336,8,37,1000
