bond,angle,hf,vqe,exact,n_qubits,n_params,n_evaluations
0.9,90.0,-199.83571323482082,-199.86963020576846,-199.86963022231063,6,20,460
1.05,90.0,-200.8637835466615,-200.90974772206084,-200.9097477286113,6,20,404
1.2000000000000002,90.0,-201.1982583164553,-201.25589777553728,-201.25589778345818,6,20,413
1.35,90.0,-201.23750842160854,-201.3045126435604,-201.30451265661486,6,20,437
1.5,90.0,-201.15627473799307,-201.22359540624842,-201.22359543563456,6,20,825
1.6500000000000001,90.0,-201.04319302322617,-201.08542215185437,-201.08542217089186,6,20,569
1.8000000000000003,90.0,-200.94169669082862,-200.95531085031354,-200.95553317322052,6,20,1000
1.9500000000000002,90.0,-200.92838703369353,-200.9419101759237,-200.94191020007858,6,20,664
2.1,90.0,-200.90613516235797,-200.9106896564827,-200.9106896900658,6,20,638
2.25,90.0,-200.89522201437495,-200.89928500706293,-200.89928502808073,6,20,291
2.4000000000000004,90.0,-200.88182359415862,-200.88156009619436,-200.88246929049714,6,20,1000
2.4000000000000004,100.0,-200.88118437859785,-200.88181958484515,-200.8821358218507,6,20,1000
2.25,100.0,-200.89681270527836,-200.9006315225694,-200.90063163348427,6,20,1000
2.1,100.0,-200.88498247300356,-200.88640553813724,-200.88643418693815,6,20,474
1.9500000000000002,100.0,-200.92591804753897,-200.9401676007856,-200.94030239354677,6,20,530
1.8000000000000003,100.0,-200.95052717166107,-200.95141353879606,-200.95235933045427,6,20,1000
1.6500000000000001,100.0,-201.01975315403868,-201.06072653667528,-201.0627349809975,6,20,1000
1.5,100.0,-201.12607610762484,-201.20232431968185,-201.20340856719315,6,20,1000
1.35,100.0,-201.2044597787459,-201.28771662687038,-201.28879044852766,6,20,1000
1.2000000000000002,100.0,-201.16852409668593,-201.2538637095919,-201.25498794963306,6,20,1000
1.05,100.0,-200.84713777652507,-200.9435609300489,-200.94438365964254,6,20,1000
0.9,100.0,-199.9625781393606,-199.97729899304957,-200.00249209500546,6,20,1000
0.9,110.0,-200.0557839102992,-200.0705958918201,-200.09979827863876,6,20,224
1.05,110.0,-200.95975709418445,-200.98069910397987,-201.01554813268842,6,20,1000
1.2000000000000002,110.0,-201.22754416814612,-201.25084063905172,-201.29293590557688,6,20,1000
1.35,110.0,-201.2333771859885,-201.28400996312868,-201.3033320504505,6,20,1000
1.5,110.0,-201.1387743145204,-201.19347805465623,-201.20431550085942,6,20,1000
1.6500000000000001,110.0,-201.02448176960473,-201.05890389842045,-201.06385944267734,6,20,1000
1.8000000000000003,110.0,-200.95600355419361,-200.9564717854702,-200.9579729858938,6,20,1000
1.9500000000000002,110.0,-200.93068858820266,-200.93080203669143,-200.93430356278392,6,20,352
2.1,110.0,-200.8843592628386,-200.88436277568167,-200.88656154419928,6,20,501
2.25,110.0,-200.88542636049775,-200.8854263570803,-200.8864766887561,6,20,409
2.4000000000000004,110.0,-200.87099748699157,-200.87099748541897,-200.87189820591823,6,20,140
2.4000000000000004,120.0,-200.87022684354025,-200.87022688386637,-200.87098565676402,6,20,158
2.25,120.0,-200.78835210764908,-200.8075074118593,-200.81429059057294,6,20,1000
2.1,120.0,-200.91200341346263,-200.91201895076466,-200.91265010951065,6,20,529
1.9500000000000002,120.0,-200.93228085697208,-200.93237682803985,-200.9343152733284,6,20,234
1.8000000000000003,120.0,-200.96026709780347,-200.96072202140633,-200.96234947420132,6,20,643
1.6500000000000001,120.0,-201.02278539077707,-201.0366891335675,-201.0497757254958,6,20,611
1.5,120.0,-201.14075292498336,-201.18413146396765,-201.20095280947663,6,20,1000
1.35,120.0,-201.2447672275673,-201.29148247637028,-201.31172059305783,6,20,1000
1.2000000000000002,120.0,-201.25762247172,-201.29343541881852,-201.3213488038231,6,20,1000
1.05,120.0,-201.02434579139302,-201.047673359579,-201.0784001139038,6,20,1000
0.9,120.0,-200.18352220070335,-200.19591810994282,-200.22521436817956,6,20,428
0.9,130.0,-200.25818999309806,-200.26951174306092,-200.2989577395502,6,20,297
1.05,130.0,-201.05735111758537,-201.07436164217282,-201.11078315233843,6,20,484
1.2000000000000002,130.0,-201.26925520498904,-201.2955624375421,-201.33202390896986,6,20,1000
1.35,130.0,-201.24555241389706,-201.2744736581808,-201.3096169203705,6,20,1000
1.5,130.0,-201.13714917417883,-201.16351666468404,-201.18875490283412,6,20,632
1.6500000000000001,130.0,-201.02830442892062,-201.03157552793186,-201.04365963842935,6,20,566
1.8000000000000003,130.0,-200.96368736532133,-200.96412875241646,-200.96586687323722,6,20,1000
1.9500000000000002,130.0,-200.93366629924913,-200.9337465578275,-200.93482029976937,6,20,395
2.1,130.0,-200.9136834503034,-200.91369480417185,-200.9139627628162,6,20,323
2.25,130.0,-200.7008198017694,-200.8033384594547,-200.8200835004919,6,20,1000
2.4000000000000004,130.0,-200.86930012185505,-200.86930019055654,-200.8699883281831,6,20,301
2.4000000000000004,140.0,-200.88699992087672,-200.88699991859994,-200.8880384279327,6,20,146
2.25,140.0,-200.83470754115808,-201.01687605754842,-201.0234253073073,6,20,1000
2.1,140.0,-200.91517519727222,-200.91518373656984,-200.91530414397286,6,20,405
1.9500000000000002,140.0,-200.93488275835023,-200.934950489355,-200.93557364228695,6,20,267
1.8000000000000003,140.0,-200.96640551217075,-200.9668370850384,-200.9686651935388,6,20,200
1.6500000000000001,140.0,-201.0305066804254,-201.03870674127518,-201.0456339471629,6,20,1000
1.5,140.0,-201.13298803957244,-201.1640576923273,-201.17659651664934,6,20,1000
1.35,140.0,-201.2400770143471,-201.28337335713795,-201.30150171122793,6,20,1000
1.2000000000000002,140.0,-201.2685939985613,-201.29994851364154,-201.33078988317908,6,20,1000
1.05,140.0,-201.06847546027316,-201.09207284013513,-201.12199302753257,6,20,1000
