bond,angle,polynomial
0.9,90.0,-199.9188396467973
0.9,90.45226130653266,-199.92339041454383
0.9,90.90452261306532,-199.92793944825473
0.9,91.35678391959799,-199.93248612317643
0.9,91.80904522613065,-199.93702982026875
0.9,92.26130653266331,-199.94156992620475
0.9,92.71356783919597,-199.94610583337047
0.9,93.16582914572864,-199.95063693986532
0.9,93.61809045226131,-199.95516264950206
0.9,94.07035175879398,-199.95968237180648
0.9,94.52261306532664,-199.96419552201755
0.9,94.9748743718593,-199.96870152108764
0.9,95.42713567839196,-199.9731997956822
0.9,95.87939698492463,-199.97768977817992
0.9,96.33165829145729,-199.98217090667268
0.9,96.78391959798995,-199.98664262496573
0.9,97.23618090452261,-199.9911043825773
0.9,97.68844221105527,-199.995555634739
0.9,98.14070351758794,-199.9999958423956
0.9,98.5929648241206,-200.00442447220513
0.9,99.04522613065326,-200.00884099653874
0.9,99.49748743718592,-200.01324489348087
0.9,99.9497487437186,-200.01763564682918
0.9,100.40201005025125,-200.02201274609453
0.9,100.85427135678393,-200.0263756865009
0.9,101.30653266331659,-200.03072396898574
0.9,101.75879396984925,-200.0350571001994
0.9,102.21105527638191,-200.0393745925057
0.9,102.66331658291458,-200.04367596398154
0.9,103.11557788944724,-200.047960738417
0.9,103.5678391959799,-200.05222844531554
0.9,104.02010050251256,-200.0564786198937
0.9,104.47236180904522,-200.06071080308126
0.9,104.92462311557789,-200.06492454152132
0.9,105.37688442211055,-200.06911938756994
0.9,105.82914572864321,-200.07329489929668
0.9,106.28140703517587,-200.0774506404841
0.9,106.73366834170855,-200.0815861806282
0.9,107.1859296482412,-200.08570109493803
0.9,107.63819095477388,-200.08979496433585
0.9,108.09045226130654,-200.0938673754571
0.9,108.5427135678392,-200.09791792065073
0.9,108.99497487437186,-200.10194619797846
0.9,109.44723618090453,-200.1059518112156
0.9,109.89949748743719,-200.1099343698505
0.9,110.35175879396985,-200.11389348908475
0.9,110.80402010050251,-200.11782878983308
0.9,111.25628140703517,-200.1217398987237
0.9,111.70854271356784,-200.12562644809765
0.9,112.1608040201005,-200.12948807600952
0.9,112.61306532663316,-200.13332442622692
