angle,spline,linear
90.0,-201.24941303183124,-201.24941303183124
90.22556390977444,-201.25168716148298,-201.25002662596748
90.45112781954887,-201.25375844972916,-201.25064022010372
90.67669172932331,-201.25563373068073,-201.25125381423993
90.90225563909775,-201.2573198384485,-201.25186740837617
91.12781954887218,-201.25882360714334,-201.2524810025124
91.35338345864662,-201.26015187087614,-201.25309459664865
91.57894736842105,-201.26131146375775,-201.25370819078486
91.80451127819549,-201.262309219899,-201.2543217849211
92.03007518796993,-201.26315197341083,-201.25493537905734
92.25563909774436,-201.26384655840405,-201.25554897319358
92.4812030075188,-201.26439980898957,-201.25616256732982
92.70676691729324,-201.26481855927818,-201.25677616146604
92.93233082706767,-201.26510964338078,-201.25738975560228
93.15789473684211,-201.26527989540827,-201.25800334973852
93.38345864661655,-201.2653361494715,-201.25861694387476
93.60902255639098,-201.26528523968133,-201.259230538011
93.83458646616542,-201.2651340001486,-201.2598441321472
94.06015037593986,-201.2648892649842,-201.26045772628345
94.28571428571429,-201.264557868299,-201.2610713204197
94.51127819548873,-201.26414664420386,-201.26168491455593
94.73684210526315,-201.26366242680965,-201.26229850869214
94.9624060150376,-201.2631120502272,-201.26291210282838
95.18796992481202,-201.2625023485674,-201.26245087115495
95.41353383458646,-201.26184015594114,-201.26177467431958
95.6390977443609,-201.26113230645925,-201.26109847748418
95.86466165413533,-201.26038563423265,-201.2604222806488
96.09022556390977,-201.25960697337212,-201.25974608381344
96.3157894736842,-201.25880315798858,-201.25906988697807
96.54135338345864,-201.2579810221929,-201.2583936901427
96.76691729323308,-201.2571474000959,-201.25771749330733
96.99248120300751,-201.25630912580849,-201.25704129647195
97.21804511278195,-201.25547303344152,-201.25636509963655
97.44360902255639,-201.25464595710585,-201.25568890280118
97.66917293233082,-201.25383473091233,-201.2550127059658
97.89473684210526,-201.2530461889719,-201.25433650913044
98.1203007518797,-201.25228716539536,-201.25366031229507
98.34586466165413,-201.25156449429355,-201.2529841154597
98.57142857142857,-201.25088500977736,-201.25230791862433
98.796992481203,-201.2502555459577,-201.25163172178893
99.02255639097744,-201.24968293694542,-201.25095552495355
99.24812030075188,-201.24917401685133,-201.25027932811818
99.47368421052632,-201.24873561978637,-201.2496031312828
99.69924812030075,-201.24837457986135,-201.24892693444744
99.92481203007519,-201.24809773118713,-201.24825073761207
100.15037593984962,-201.24791121984566,-201.24819269863076
100.37593984962406,-201.24781319358192,-201.2484437385765
100.6015037593985,-201.24779663992356,-201.24869477852224
100.82706766917293,-201.24785446039462,-201.24894581846797
101.05263157894737,-201.24797955651928,-201.2491968584137
101.2781954887218,-201.24816482982155,-201.24944789835942
101.50375939849624,-201.24840318182544,-201.24969893830516
101.72932330827068,-201.24868751405506,-201.2499499782509
101.95488721804512,-201.24901072803445,-201.25020101819663
102.18045112781955,-201.24936572528767,-201.25045205814237
102.40601503759399,-201.24974540733882,-201.2507030980881
102.63157894736842,-201.25014267571188,-201.25095413803385
102.85714285714286,-201.250550431931,-201.25120517797959
103.0827067669173,-201.25096157752017,-201.25145621792532
103.30827067669173,-201.2513690140035,-201.25170725787106
103.53383458646617,-201.25176564290504,-201.2519582978168
103.7593984962406,-201.25214436574885,-201.2522093377625
103.98496240601503,-201.25249808405897,-201.25246037770825
104.21052631578948,-201.25281969935943,-201.25271141765398
104.4360902255639,-201.25310211317438,-201.25296245759972
104.66165413533835,-201.25333822702783,-201.25321349754546
104.88721804511277,-201.2535209424438,-201.2534645374912
105.11278195488721,-201.25364344356717,-201.25356120788518
105.33834586466165,-201.2537054148188,-201.25350350872745
105.56390977443608,-201.25371304089583,-201.25344580956968
105.78947368421052,-201.25367278911617,-201.25338811041192
106.01503759398496,-201.25359112679763,-201.25333041125418
106.2406015037594,-201.25347452125803,-201.25327271209642
106.46616541353383,-201.25332943981527,-201.25321501293865
106.69172932330827,-201.25316234978715,-201.25315731378092
106.9172932330827,-201.25297971849153,-201.25309961462315
107.14285714285714,-201.2527880132463,-201.25304191546542
107.36842105263158,-201.25259370136922,-201.25298421630765
107.59398496240601,-201.2524032501782,-201.2529265171499
107.81954887218045,-201.25222312699108,-201.25286881799215
108.04511278195488,-201.25205979912573,-201.2528111188344
108.27067669172932,-201.25191973389988,-201.25275341967662
108.49624060150376,-201.25180939863156,-201.2526957205189
108.7218045112782,-201.25173526063844,-201.25263802136112
108.94736842105263,-201.2517037872385,-201.25258032220339
109.17293233082707,-201.2517214457495,-201.25252262304562
109.3984962406015,-201.25179470348934,-201.25246492388786
109.62406015037594,-201.2519300277758,-201.25240722473012
109.84962406015038,-201.2521338859268,-201.25234952557236
110.07518796992481,-201.25241267339956,-201.25256007383828
110.30075187969925,-201.25276847401574,-201.25330711695162
110.52631578947368,-201.2531966885619,-201.25405416006492
110.75187969924812,-201.2536921429397,-201.25480120317826
110.97744360902256,-201.25424966305098,-201.25554824629157
111.203007518797,-201.25486407479747,-201.2562952894049
111.42857142857143,-201.25553020408097,-201.2570423325182
111.65413533834587,-201.25624287680316,-201.25778937563155
111.8796992481203,-201.2569969188659,-201.25853641874485
112.10526315789474,-201.25778715617088,-201.25928346185816
112.33082706766918,-201.25860841461986,-201.2600305049715
112.55639097744361,-201.25945552011467,-201.2607775480848
112.78195488721805,-201.260323298557,-201.26152459119814
113.00751879699249,-201.26120657584866,-201.26227163431145
113.23308270676691,-201.26210017789137,-201.26301867742478
113.45864661654136,-201.2629989305869,-201.2637657205381
113.68421052631578,-201.263897659837,-201.26451276365142
113.90977443609023,-201.26479119154348,-201.26525980676473
114.13533834586465,-201.26567435160806,-201.26600684987804
114.3609022556391,-201.2665419659325,-201.26675389299137
114.58646616541353,-201.2673888604186,-201.26750093610468
114.81203007518798,-201.26820986096806,-201.26824797921802
115.0375939849624,-201.26899979858678,-201.26895460031216
115.26315789473685,-201.26975523457438,-201.2694591113104
115.48872180451127,-201.27047697174697,-201.26996362230864
115.71428571428571,-201.27116645093457,-201.2704681333069
115.93984962406014,-201.27182511296718,-201.27097264430515
116.16541353383458,-201.2724543986748,-201.2714771553034
116.39097744360902,-201.27305574888751,-201.27198166630163
116.61654135338345,-201.27363060443525,-201.2724861772999
116.84210526315789,-201.2741804061481,-201.27299068829814
117.06766917293233,-201.2747065948561,-201.27349519929638
117.29323308270676,-201.27521061138916,-201.27399971029462
117.5187969924812,-201.27569389657742,-201.27450422129286
117.74436090225564,-201.27615789125082,-201.27500873229113
117.96992481203007,-201.27660403623946,-201.27551324328937
118.19548872180451,-201.27703377237324,-201.2760177542876
118.42105263157895,-201.2774485404823,-201.27652226528585
118.64661654135338,-201.2778497813966,-201.27702677628412
118.87218045112782,-201.27823893594615,-201.27753128728236
119.09774436090225,-201.278617444961,-201.2780357982806
119.32330827067669,-201.27898674927113,-201.27854030927884
119.54887218045113,-201.27934828970658,-201.2790448202771
119.77443609022556,-201.27970350709742,-201.27954933127535
120.0,-201.2800538422736,-201.2800538422736
120.22556390977444,-201.2804004903491,-201.28036133394133
120.45112781954887,-201.28074366357382,-201.28066882560907
120.67669172932331,-201.2810833284815,-201.28097631727684
120.90225563909775,-201.28141945160596,-201.28128380894458
121.12781954887218,-201.281751999481,-201.28159130061232
121.35338345864662,-201.28208093864043,-201.28189879228006
121.57894736842105,-201.282406235618,-201.2822062839478
121.80451127819549,-201.2827278569476,-201.28251377561557
122.03007518796991,-201.28304576916292,-201.2828212672833
122.25563909774436,-201.28335993879784,-201.28312875895105
122.48120300751879,-201.28367033238615,-201.2834362506188
122.70676691729324,-201.28397691646163,-201.28374374228653
