bond,angle,spline
0.9,90.0,-199.86963020576852
0.9,90.45226130653266,-199.87605368984566
0.9,90.90452261306532,-199.88227512377665
0.9,91.35678391959799,-199.88830268590158
0.9,91.80904522613065,-199.89414455456028
0.9,92.26130653266331,-199.8998089080928
0.9,92.71356783919597,-199.90530392483913
0.9,93.16582914572864,-199.91063778313912
0.9,93.61809045226131,-199.9158186613329
0.9,94.07035175879398,-199.92085473776024
0.9,94.52261306532664,-199.9257541907613
0.9,94.9748743718593,-199.93052519867595
0.9,95.42713567839196,-199.93517593984416
0.9,95.87939698492463,-199.9397145926059
0.9,96.33165829145729,-199.94414933530118
0.9,96.78391959798995,-199.9484883462699
0.9,97.23618090452261,-199.95273980385207
0.9,97.68844221105527,-199.95691188638767
0.9,98.14070351758794,-199.96101277221655
0.9,98.5929648241206,-199.9650506396789
0.9,99.04522613065326,-199.96903366711447
0.9,99.49748743718592,-199.97297003286334
0.9,99.9497487437186,-199.97686791526544
0.9,100.40201005025125,-199.98073549266073
0.9,100.85427135678393,-199.98458094338926
0.9,101.30653266331659,-199.98841244579086
0.9,101.75879396984925,-199.9922381782056
0.9,102.21105527638191,-199.99606631897345
0.9,102.66331658291458,-199.99990504643432
0.9,103.11557788944724,-200.00376253892819
0.9,103.5678391959799,-200.00764697479508
0.9,104.02010050251256,-200.0115665323749
0.9,104.47236180904522,-200.0155293900076
0.9,104.92462311557789,-200.0195437260332
0.9,105.37688442211055,-200.02361771879168
0.9,105.82914572864321,-200.0277595466229
0.9,106.28140703517587,-200.03197738786696
0.9,106.73366834170855,-200.0362794208637
0.9,107.1859296482412,-200.04067382395323
0.9,107.63819095477388,-200.04516877547542
0.9,108.09045226130654,-200.0497724537703
0.9,108.5427135678392,-200.05449303717774
0.9,108.99497487437186,-200.05933870403783
0.9,109.44723618090453,-200.06431763269038
0.9,109.89949748743719,-200.06943800147553
0.9,110.35175879396985,-200.0747061601828
0.9,110.80402010050251,-200.08011393682088
0.9,111.25628140703517,-200.08564623436396
0.9,111.70854271356784,-200.0912879131378
0.9,112.1608040201005,-200.097023833468
0.9,112.61306532663316,-200.10283885568055
0.9,113.06532663316582,-200.108717840101
0.9,113.5175879396985,-200.11464564705523
0.9,113.96984924623115,-200.12060713686907
0.9,114.42211055276383,-200.12658716986817
0.9,114.87437185929649,-200.13257060637835
0.9,115.32663316582915,-200.1385423067254
0.9,115.77889447236181,-200.144487131235
0.9,116.23115577889448,-200.15038994023294
0.9,116.68341708542714,-200.15623559404503
0.9,117.1356783919598,-200.16200895299704
0.9,117.58793969849246,-200.16769487741465
0.9,118.04020100502512,-200.1732782276237
0.9,118.49246231155779,-200.17874386394996
0.9,118.94472361809045,-200.18407664671912
0.9,119.39698492462311,-200.18926143625706
0.9,119.84924623115577,-200.1942830928894
0.9,120.30150753768845,-200.19912751564675
0.9,120.7537688442211,-200.20379267850208
0.9,121.20603015075378,-200.20828434571368
0.9,121.65829145728644,-200.21260841137817
0.9,122.1105527638191,-200.2167707695921
0.9,122.56281407035176,-200.220777314452
0.9,123.01507537688443,-200.22463394005422
0.9,123.46733668341709,-200.22834654049547
0.9,123.91959798994975,-200.23192100987214
0.9,124.37185929648241,-200.23536324228084
0.9,124.82412060301507,-200.23867913181806
0.9,125.27638190954774,-200.24187457258031
0.9,125.7286432160804,-200.24495545866415
0.9,126.18090452261308,-200.247927684166
0.9,126.63316582914572,-200.2507971431825
0.9,127.0854271356784,-200.25356972981007
0.9,127.53768844221105,-200.25625133814526
0.9,127.98994974874373,-200.25884786228457
0.9,128.44221105527637,-200.2613651963245
0.9,128.89447236180905,-200.2638092343617
0.9,129.3467336683417,-200.26618587049256
0.9,129.79899497487438,-200.26850099881366
0.9,130.25125628140705,-200.27076035562823
0.9,130.7035175879397,-200.2729668445353
0.9,131.15577889447235,-200.2751209189202
0.9,131.60804020100502,-200.27722295137823
0.9,132.0603015075377,-200.27927331450474
0.9,132.51256281407035,-200.281272380895
0.9,132.96482412060303,-200.28322052314434
0.9,133.41708542713567,-200.28511811384797
0.9,133.86934673366835,-200.28696552560126
0.9,134.321608040201,-200.2887631309994
0.9,134.77386934673368,-200.29051130263784
0.9,135.22613065326632,-200.29221041311175
0.9,135.678391959799,-200.29386083501646
0.9,136.13065326633165,-200.2954629409473
0.9,136.58291457286433,-200.2970171034995
0.9,137.035175879397,-200.2985236952684
0.9,137.48743718592965,-200.29998308884927
0.9,137.9396984924623,-200.30139565683746
0.9,138.39195979899498,-200.30276177182816
0.9,138.84422110552765,-200.30408180641672
0.9,139.2964824120603,-200.30535613319842
0.9,139.74874371859298,-200.30658512476856
0.9,140.20100502512562,-200.30776914704242
0.9,140.6532663316583,-200.30890836334288
0.9,141.10552763819095,-200.3100027027746
0.9,141.55778894472363,-200.3110520813954
0.9,142.01005025125627,-200.3120564152631
